https://www.Saxcoin-b6.nl,ADA,Cardano
unix,date,symbol,open,high,low,close,volume,total
1648425600,2022-03-28 00:00:00,ADA/EUR,1.07640,1.13462,1.06000,1.06000,667503.17772397,707553.3683874083
1648512000,2022-03-29 00:00:00,ADA/EUR,1.07393,1.11970,1.05629,1.07478,453894.36308441,487836.58355586225
1648598400,2022-03-30 00:00:00,ADA/EUR,1.06734,1.09296,1.04551,1.06571,165932.51168102,176835.9370235798
1648684800,2022-03-31 00:00:00,ADA/EUR,1.06089,1.10768,1.02500,1.02518,263702.31708581,270342.3414300307
1648771200,2022-04-01 00:00:00,ADA/EUR,1.03339,1.06558,1.00000,1.05355,268256.09986370,282621.2140114011
1648857600,2022-04-02 00:00:00,ADA/EUR,1.05118,1.08082,1.04000,1.04555,120559.99998816,126051.50798762067
1648944000,2022-04-03 00:00:00,ADA/EUR,1.04616,1.08600,1.04000,1.07292,99551.41537133,106810.7045802074
1649030400,2022-04-04 00:00:00,ADA/EUR,1.07500,1.13000,1.05295,1.10449,384044.21701927,424172.9972556135
1649116800,2022-04-05 00:00:00,ADA/EUR,1.10329,1.11035,1.07272,1.07272,263644.88984274,282817.14623210405
1649203200,2022-04-06 00:00:00,ADA/EUR,1.07257,1.07257,0.96327,0.96647,524170.53552782,506595.0974715722
1649289600,2022-04-07 00:00:00,ADA/EUR,0.96712,1.00948,0.95352,1.00475,143738.87635300,144421.63601567675
1649376000,2022-04-08 00:00:00,ADA/EUR,1.00504,1.01086,0.93963,0.94170,90293.34669062,85029.24457855686
1649462400,2022-04-09 00:00:00,ADA/EUR,0.94765,0.96141,0.94122,0.96140,101916.29662582,97982.32757606336
1649548800,2022-04-10 00:00:00,ADA/EUR,0.95999,0.98215,0.94671,0.95105,42772.89086999,40679.15786190399
1649635200,2022-04-11 00:00:00,ADA/EUR,0.93450,0.94738,0.84528,0.84556,366759.29196098,310116.98691052623
1649721600,2022-04-12 00:00:00,ADA/EUR,0.84350,0.90280,0.84350,0.88520,208393.05032583,184469.52814842472
1649808000,2022-04-13 00:00:00,ADA/EUR,0.88416,0.90000,0.86665,0.89653,82075.55474232,73583.19709313216
1649894400,2022-04-14 00:00:00,ADA/EUR,0.89548,0.89944,0.85471,0.86472,132005.31838119,114147.63891058262
1649980800,2022-04-15 00:00:00,ADA/EUR,0.86478,0.88699,0.86478,0.87901,96430.51495142,84763.3869474477
1650067200,2022-04-16 00:00:00,ADA/EUR,0.88303,0.88958,0.86822,0.88458,32507.09057848,28755.12218391184
1650153600,2022-04-17 00:00:00,ADA/EUR,0.88025,0.89000,0.84909,0.85056,78369.96139367,66658.35436299996
1650240000,2022-04-18 00:00:00,ADA/EUR,0.84388,0.86979,0.81113,0.86796,152677.82961154,132518.24898963224
1650326400,2022-04-19 00:00:00,ADA/EUR,0.87204,0.88648,0.85822,0.88209,120955.36586162,106693.5186728764
1650412800,2022-04-20 00:00:00,ADA/EUR,0.87809,0.90082,0.86000,0.86722,171276.79171440,148534.65931056195
1650499200,2022-04-21 00:00:00,ADA/EUR,0.86395,0.89161,0.82480,0.83994,316470.31557195,265816.0768615037
1650585600,2022-04-22 00:00:00,ADA/EUR,0.83642,0.85280,0.82668,0.84000,198757.85098741,166956.5948294244
1650672000,2022-04-23 00:00:00,ADA/EUR,0.84085,0.84085,0.81863,0.82330,42729.22467225,35178.970672663425
1650758400,2022-04-24 00:00:00,ADA/EUR,0.82077,0.83335,0.81434,0.82481,107564.63605826,88720.38746721344
1650844800,2022-04-25 00:00:00,ADA/EUR,0.81763,0.84208,0.76920,0.83751,580179.60792420,485906.2234325967
1650931200,2022-04-26 00:00:00,ADA/EUR,0.83845,0.84151,0.76664,0.77880,197142.38579704,153534.49005873478
1651017600,2022-04-27 00:00:00,ADA/EUR,0.77511,0.80560,0.77511,0.79640,107804.46456597,85855.4755803385
1651104000,2022-04-28 00:00:00,ADA/EUR,0.79345,0.81000,0.78705,0.80166,108870.76800470,87277.3398786478
1651190400,2022-04-29 00:00:00,ADA/EUR,0.80272,0.80372,0.74837,0.76492,181886.81807596,139128.86488266333
1651276800,2022-04-30 00:00:00,ADA/EUR,0.76411,0.77604,0.70329,0.71861,239473.08500202,172087.75361330158
1651363200,2022-05-01 00:00:00,ADA/EUR,0.71754,0.75876,0.70916,0.75106,187485.08449546,140812.54756116017
1651449600,2022-05-02 00:00:00,ADA/EUR,0.75127,0.75666,0.72947,0.74769,94452.08180429,70620.87704424959
1651536000,2022-05-03 00:00:00,ADA/EUR,0.74957,0.75589,0.72306,0.72954,121612.13145435,88720.9143812065
1651622400,2022-05-04 00:00:00,ADA/EUR,0.73036,0.84434,0.73036,0.84386,438233.70472320,369807.8940677196
1651708800,2022-05-05 00:00:00,ADA/EUR,0.85000,0.85224,0.73605,0.74906,476394.22468342,356847.85794136254
1651795200,2022-05-06 00:00:00,ADA/EUR,0.74906,0.75883,0.72011,0.74283,255965.95848212,190139.1929392732
1651881600,2022-05-07 00:00:00,ADA/EUR,0.73859,0.74387,0.70879,0.73000,122716.65380148,89583.1572750804
1651968000,2022-05-08 00:00:00,ADA/EUR,0.71992,0.72270,0.68880,0.70000,237841.18513280,166488.82959295998
1652054400,2022-05-09 00:00:00,ADA/EUR,0.70957,0.71560,0.56610,0.57035,811021.73552716,462566.2468579157
1652140800,2022-05-10 00:00:00,ADA/EUR,0.57732,0.66124,0.55546,0.60240,806757.80078449,485990.89919257676
1652227200,2022-05-11 00:00:00,ADA/EUR,0.59577,0.62165,0.45500,0.49022,909218.03143867,445716.8633718648
1652313600,2022-05-12 00:00:00,ADA/EUR,0.49400,0.52000,0.37001,0.45605,1658182.43217391,756214.0981929117
1652400000,2022-05-13 00:00:00,ADA/EUR,0.45509,0.58063,0.45269,0.50681,951265.58687571,482110.9120844786
1652486400,2022-05-14 00:00:00,ADA/EUR,0.51102,0.53117,0.46971,0.51628,365923.64216432,188919.0579765951
1652572800,2022-05-15 00:00:00,ADA/EUR,0.51351,0.57516,0.49727,0.57347,701843.88928700,402486.415189416
1652659200,2022-05-16 00:00:00,ADA/EUR,0.56000,0.58000,0.52464,0.53000,411131.89860790,217899.90626218703
1652745600,2022-05-17 00:00:00,ADA/EUR,0.53341,0.56867,0.52500,0.54808,521475.90283149,285810.51282388304
1652832000,2022-05-18 00:00:00,ADA/EUR,0.54938,0.54938,0.48000,0.48195,540351.45690186,260422.3846538514
1652918400,2022-05-19 00:00:00,ADA/EUR,0.48430,0.51370,0.46877,0.50543,500634.52383000,253035.70737939695
1653004800,2022-05-20 00:00:00,ADA/EUR,0.50060,0.51158,0.47521,0.48896,632456.10532186,309245.73725817667
1653091200,2022-05-21 00:00:00,ADA/EUR,0.48861,0.50886,0.48546,0.49640,149263.67759076,74094.48955605326
1653177600,2022-05-22 00:00:00,ADA/EUR,0.50151,0.51976,0.49503,0.51259,251005.28285211,128662.79793716305
1653264000,2022-05-23 00:00:00,ADA/EUR,0.51185,0.52222,0.47188,0.47976,481589.04851349,231047.161914832
1653350400,2022-05-24 00:00:00,ADA/EUR,0.48128,0.48968,0.46000,0.48463,292363.32922208,141688.04024089663
1653436800,2022-05-25 00:00:00,ADA/EUR,0.48707,0.49657,0.47575,0.47912,251389.44328574,120445.71006706374
1653523200,2022-05-26 00:00:00,ADA/EUR,0.48412,0.48412,0.43400,0.45009,428992.65616644,193085.30461395296
1653609600,2022-05-27 00:00:00,ADA/EUR,0.44559,0.44559,0.41469,0.42664,369862.89435974,157798.3052496395
1653696000,2022-05-28 00:00:00,ADA/EUR,0.42981,0.43449,0.41978,0.43159,47095.92483748,20326.130200607993
1653782400,2022-05-29 00:00:00,ADA/EUR,0.43174,0.44828,0.42672,0.44737,95210.22034955,42594.19627777818
1653868800,2022-05-30 00:00:00,ADA/EUR,0.45048,0.53309,0.44819,0.52900,366485.94607372,193871.0654729979
1653955200,2022-05-31 00:00:00,ADA/EUR,0.53267,0.63822,0.53267,0.58684,1061326.44185439,622828.8091378303
1654041600,2022-06-01 00:00:00,ADA/EUR,0.58358,0.58358,0.50472,0.52113,1005210.10742312,523845.1432814105
1654128000,2022-06-02 00:00:00,ADA/EUR,0.51895,0.55338,0.51712,0.54693,297347.36652798,162628.1951751481
1654214400,2022-06-03 00:00:00,ADA/EUR,0.54305,0.55505,0.50340,0.52500,309168.94312822,162313.6951423155
1654300800,2022-06-04 00:00:00,ADA/EUR,0.52294,0.53210,0.50945,0.52513,158686.73588575,83331.1656156839
1654387200,2022-06-05 00:00:00,ADA/EUR,0.52238,0.54212,0.51797,0.52833,358671.30955008,189496.81297459375
1654473600,2022-06-06 00:00:00,ADA/EUR,0.52744,0.60000,0.52744,0.57000,1186808.98058632,676481.1189342024
1654560000,2022-06-07 00:00:00,ADA/EUR,0.56676,0.60220,0.53529,0.57636,599136.17876292,345318.12799179653
1654646400,2022-06-08 00:00:00,ADA/EUR,0.57252,0.62226,0.57252,0.59971,286768.17804447,171977.74405504912
1654732800,2022-06-09 00:00:00,ADA/EUR,0.59685,0.61320,0.58506,0.59616,175741.92244757,104770.30448634333
1654819200,2022-06-10 00:00:00,ADA/EUR,0.59640,0.59641,0.54250,0.54652,627103.72680917,342724.7287757476
1654905600,2022-06-11 00:00:00,ADA/EUR,0.54641,0.58500,0.51800,0.52498,403781.64202670,211977.28643117697
