https://www.Saxcoin-b6.nl,ALGO,Algorand
unix,date,symbol,open,high,low,close,volume,total
1648425600,2022-03-28 00:00:00,ALGO/EUR,0.86379,0.88668,0.81535,0.82342,1125404.60309240,926680.658278344
1648512000,2022-03-29 00:00:00,ALGO/EUR,0.83525,0.87500,0.81058,0.82158,194142.68310370,159503.74558433783
1648598400,2022-03-30 00:00:00,ALGO/EUR,0.83037,0.85790,0.79600,0.83287,473387.32504470,394270.1014099793
1648684800,2022-03-31 00:00:00,ALGO/EUR,0.82565,0.89000,0.81999,0.82950,249049.45263162,206586.5209579288
1648771200,2022-04-01 00:00:00,ALGO/EUR,0.84012,0.87171,0.80728,0.85129,110589.12315791,94143.4146530972
1648857600,2022-04-02 00:00:00,ALGO/EUR,0.85624,0.88439,0.82000,0.82193,523817.84527495,430541.60156683973
1648944000,2022-04-03 00:00:00,ALGO/EUR,0.82349,0.85477,0.80718,0.84185,1010624.63654732,850794.3502773613
1649030400,2022-04-04 00:00:00,ALGO/EUR,0.84108,0.84644,0.77029,0.80331,356564.09155340,286431.5003857617
1649116800,2022-04-05 00:00:00,ALGO/EUR,0.80623,0.82062,0.76386,0.76386,208530.12711288,159287.8228964445
1649203200,2022-04-06 00:00:00,ALGO/EUR,0.76411,0.76411,0.70322,0.70458,353896.42083666,249348.3401930939
1649289600,2022-04-07 00:00:00,ALGO/EUR,0.70349,0.74310,0.68905,0.73674,165769.03282895,122128.67724640062
1649376000,2022-04-08 00:00:00,ALGO/EUR,0.73080,0.74537,0.69450,0.69450,114224.39625793,79328.84320113239
1649462400,2022-04-09 00:00:00,ALGO/EUR,0.70023,0.72715,0.69829,0.72715,48398.95134432,35193.297470022284
1649548800,2022-04-10 00:00:00,ALGO/EUR,0.72239,0.72660,0.68741,0.68839,73271.70136179,50439.50650044261
1649635200,2022-04-11 00:00:00,ALGO/EUR,0.68812,0.69831,0.62739,0.63705,246267.13422552,156884.47785836752
1649721600,2022-04-12 00:00:00,ALGO/EUR,0.64558,0.68298,0.63369,0.66854,74821.54939851,50021.19863487988
1649808000,2022-04-13 00:00:00,ALGO/EUR,0.66662,0.68819,0.66321,0.68250,193745.82045212,132231.5224585719
1649894400,2022-04-14 00:00:00,ALGO/EUR,0.69143,0.69556,0.66091,0.67127,56414.94658599,37869.66119477751
1649980800,2022-04-15 00:00:00,ALGO/EUR,0.67500,0.68458,0.66895,0.68049,42779.23755605,29110.843364516466
1650067200,2022-04-16 00:00:00,ALGO/EUR,0.68574,0.69433,0.67537,0.69132,73302.40577902,50675.41916315211
1650153600,2022-04-17 00:00:00,ALGO/EUR,0.68436,0.68703,0.65468,0.65610,41943.36170196,27519.039612655957
1650240000,2022-04-18 00:00:00,ALGO/EUR,0.65574,0.68534,0.63856,0.68100,121858.93144344,82985.93231298265
1650326400,2022-04-19 00:00:00,ALGO/EUR,0.68554,0.70726,0.67757,0.70197,107380.22591913,75377.69718845168
1650412800,2022-04-20 00:00:00,ALGO/EUR,0.70368,0.71200,0.67542,0.68174,110159.47767469,75100.12230994317
1650499200,2022-04-21 00:00:00,ALGO/EUR,0.68604,0.71000,0.65566,0.66192,200904.04038535,132982.40241187086
1650585600,2022-04-22 00:00:00,ALGO/EUR,0.66200,0.67537,0.66103,0.66867,45700.31780828,30558.431508862588
1650672000,2022-04-23 00:00:00,ALGO/EUR,0.66888,0.67086,0.65442,0.65713,49685.06317984,32649.54556736826
1650758400,2022-04-24 00:00:00,ALGO/EUR,0.65789,0.66185,0.64622,0.65255,73494.14962612,47958.6073385246
1650844800,2022-04-25 00:00:00,ALGO/EUR,0.64739,0.65858,0.61100,0.65738,97425.47974334,64045.561873676845
1650931200,2022-04-26 00:00:00,ALGO/EUR,0.65709,0.68057,0.60557,0.60911,274840.20547233,167407.91755525093
1651017600,2022-04-27 00:00:00,ALGO/EUR,0.61682,0.64068,0.61596,0.63564,118746.76825208,75480.19577175213
1651104000,2022-04-28 00:00:00,ALGO/EUR,0.63334,0.67960,0.63278,0.66311,244841.19273222,162356.6433126624
1651190400,2022-04-29 00:00:00,ALGO/EUR,0.66289,0.67207,0.58807,0.60276,287477.81425146,173280.12731821003
1651276800,2022-04-30 00:00:00,ALGO/EUR,0.60558,0.60686,0.51101,0.53852,121827.21893294,65606.39393976684
1651363200,2022-05-01 00:00:00,ALGO/EUR,0.53914,0.57329,0.53552,0.57120,100505.67114769,57408.83935956053
1651449600,2022-05-02 00:00:00,ALGO/EUR,0.57176,0.61379,0.55180,0.58613,158784.80324711,93068.53672722858
1651536000,2022-05-03 00:00:00,ALGO/EUR,0.58593,0.70761,0.58593,0.63548,480473.60394822,305331.36583701486
1651622400,2022-05-04 00:00:00,ALGO/EUR,0.63804,0.67411,0.62000,0.66632,253592.70575373,168973.89169782537
1651708800,2022-05-05 00:00:00,ALGO/EUR,0.67524,0.68557,0.58428,0.60179,172398.97101792,103747.97676887408
1651795200,2022-05-06 00:00:00,ALGO/EUR,0.60357,0.67914,0.59401,0.66155,382128.60654028,252797.1796567222
1651881600,2022-05-07 00:00:00,ALGO/EUR,0.66100,0.73371,0.64070,0.71453,443798.46005040,317107.3136598123
