https://www.Saxcoin-b6.nl,AVAX,Avalanche
unix,date,symbol,open,high,low,close,volume,total
1648425600,2022-03-28 00:00:00,AVAX/EUR,82.00000,87.49000,81.12000,81.68000,1143.40935792,93393.6763549056
1648512000,2022-03-29 00:00:00,AVAX/EUR,81.89710,86.61746,81.82310,82.88700,541.20323411,44858.71246567558
1648598400,2022-03-30 00:00:00,AVAX/EUR,83.21388,90.00000,81.79323,85.62000,1306.09472022,111827.8299452364
1648684800,2022-03-31 00:00:00,AVAX/EUR,87.46000,90.94190,85.30000,86.58200,1119.67308568,96943.53510434575
1648771200,2022-04-01 00:00:00,AVAX/EUR,85.00000,90.14049,83.27000,87.28937,337.97731233,29501.826667578935
1648857600,2022-04-02 00:00:00,AVAX/EUR,88.77000,93.62763,87.16000,87.16000,455.13853487,39669.874699269196
1648944000,2022-04-03 00:00:00,AVAX/EUR,88.21000,90.22000,86.06000,88.63000,297.61116825,26377.277841997497
1649030400,2022-04-04 00:00:00,AVAX/EUR,88.66312,88.66312,83.00000,86.95156,1505.35200554,130892.70523083163
1649116800,2022-04-05 00:00:00,AVAX/EUR,87.75318,89.18543,83.25000,83.25000,5473.10396965,455635.90547336254
1649203200,2022-04-06 00:00:00,AVAX/EUR,83.30000,83.67999,75.43811,76.08322,2594.62270102,197407.24977869887
1649289600,2022-04-07 00:00:00,AVAX/EUR,76.00000,81.15408,74.80000,81.07469,1414.05311879,114643.91824943243
1649376000,2022-04-08 00:00:00,AVAX/EUR,80.51000,83.17008,76.19700,77.12208,1277.71761298,98540.2399656526
1649462400,2022-04-09 00:00:00,AVAX/EUR,77.13000,78.63408,75.69000,77.89087,611.19290658,47606.34723134493
1649548800,2022-04-10 00:00:00,AVAX/EUR,77.94703,78.77540,74.28653,74.28653,361.68826512,26868.56615748483
1649635200,2022-04-11 00:00:00,AVAX/EUR,74.24381,74.73999,66.99000,68.34322,1634.35034623,111696.76526947306
1649721600,2022-04-12 00:00:00,AVAX/EUR,68.01000,73.08854,68.01000,70.57659,1220.35769964,86128.68502083542
1649808000,2022-04-13 00:00:00,AVAX/EUR,70.92747,74.00000,70.51000,73.19000,408.46252252,29895.372023238797
1649894400,2022-04-14 00:00:00,AVAX/EUR,73.95597,75.00000,70.51000,70.96113,980.95173927,69609.44389406456
1649980800,2022-04-15 00:00:00,AVAX/EUR,70.92042,72.80276,69.26000,71.59973,1110.76263844,79530.30500639162
1650067200,2022-04-16 00:00:00,AVAX/EUR,71.66859,72.39906,70.93421,72.03000,1299.20951562,93582.06141010861
1650153600,2022-04-17 00:00:00,AVAX/EUR,71.88717,72.92192,69.50000,70.08979,1275.56146325,89403.83509128522
1650240000,2022-04-18 00:00:00,AVAX/EUR,69.78334,72.23602,66.94730,72.08217,994.89501025,71714.19126099224
1650326400,2022-04-19 00:00:00,AVAX/EUR,72.13000,75.30821,71.46000,74.38508,755.15420207,56172.205733313116
1650412800,2022-04-20 00:00:00,AVAX/EUR,73.70319,75.01000,71.36433,72.06751,409.38993156,29503.712986599614
1650499200,2022-04-21 00:00:00,AVAX/EUR,73.01000,73.39590,68.73000,69.19000,778.15871669,53840.8016077811
1650585600,2022-04-22 00:00:00,AVAX/EUR,69.20000,71.01533,67.99015,68.64844,5215.79436335,358056.1464047706
1650672000,2022-04-23 00:00:00,AVAX/EUR,68.64844,68.92000,67.90000,68.45759,115.31457495,7894.15789295137
1650758400,2022-04-24 00:00:00,AVAX/EUR,67.98762,68.00000,65.78721,66.20000,1286.98173941,85198.191148942
1650844800,2022-04-25 00:00:00,AVAX/EUR,66.01970,68.04025,62.71720,68.04025,1916.05862872,130369.10811276597
1650931200,2022-04-26 00:00:00,AVAX/EUR,68.10903,68.10903,62.00000,64.04926,2068.72894699,132500.55819528876
1651017600,2022-04-27 00:00:00,AVAX/EUR,65.00204,67.36805,64.90644,66.02002,485.24479304,32035.87094139666
1651104000,2022-04-28 00:00:00,AVAX/EUR,66.28071,67.11188,63.62000,63.86480,208.45883959,13313.182098647432
1651190400,2022-04-29 00:00:00,AVAX/EUR,64.17020,64.24949,59.12315,59.90602,410.02143862,24562.752502398493
1651276800,2022-04-30 00:00:00,AVAX/EUR,60.25000,61.03362,52.57000,54.42191,940.51258902,51184.49147351342
1651363200,2022-05-01 00:00:00,AVAX/EUR,54.69000,57.75000,54.00000,56.14710,718.80675603,40358.91481149201
1651449600,2022-05-02 00:00:00,AVAX/EUR,56.36296,59.17000,54.05000,57.54001,725.99360291,41773.67917137744
1651536000,2022-05-03 00:00:00,AVAX/EUR,57.38802,59.25678,55.55002,56.78002,752.94407546,42752.17966350031
1651622400,2022-05-04 00:00:00,AVAX/EUR,56.47592,64.16946,56.05000,62.68523,1091.45248838,68417.95026817263
1651708800,2022-05-05 00:00:00,AVAX/EUR,63.21520,65.16518,54.35967,56.09608,2997.82920964,168166.4671703022
1651795200,2022-05-06 00:00:00,AVAX/EUR,56.09569,56.18857,52.34000,54.17225,1327.86219925,71933.28302332081
1651881600,2022-05-07 00:00:00,AVAX/EUR,54.05652,54.39538,51.13395,52.58281,292.20156166,15364.779198471064
1651968000,2022-05-08 00:00:00,AVAX/EUR,51.87999,52.13000,48.10000,48.51182,797.09702686,38668.62748956749
1652054400,2022-05-09 00:00:00,AVAX/EUR,49.98173,49.98173,39.22000,39.22000,2829.01908552,110954.12853409439
1652140800,2022-05-10 00:00:00,AVAX/EUR,39.02131,47.22968,38.09885,40.88333,3207.04363062,131114.62307503558
1652227200,2022-05-11 00:00:00,AVAX/EUR,42.90940,43.58004,25.31291,29.05359,12205.13441936,354602.9713149735
1652313600,2022-05-12 00:00:00,AVAX/EUR,29.39670,32.72671,21.10000,29.71480,5938.44036873,176459.5678687382
1652400000,2022-05-13 00:00:00,AVAX/EUR,29.91122,36.35999,29.25095,30.94713,6423.74094343,198796.34606265085
1652486400,2022-05-14 00:00:00,AVAX/EUR,30.75050,32.81000,28.21000,32.59654,4099.47268673,133628.62541190188
1652572800,2022-05-15 00:00:00,AVAX/EUR,32.79000,35.39000,31.08425,34.49346,2983.17742847,102900.1113018328
1652659200,2022-05-16 00:00:00,AVAX/EUR,34.73816,34.73816,30.16000,31.21000,1399.58383090,43681.01136238901
1652745600,2022-05-17 00:00:00,AVAX/EUR,31.65925,33.79118,31.05334,32.83551,1170.08074800,38420.19810176148
1652832000,2022-05-18 00:00:00,AVAX/EUR,32.21000,32.21000,28.21000,28.21000,2351.71179910,66341.78985261101
1652918400,2022-05-19 00:00:00,AVAX/EUR,28.34495,30.04456,26.21000,27.83000,3118.34269440,86783.47718515199
1653004800,2022-05-20 00:00:00,AVAX/EUR,28.62238,30.00541,26.47258,27.54507,1799.22567792,49559.79724410385
1653091200,2022-05-21 00:00:00,AVAX/EUR,26.97197,28.74795,26.97197,27.92967,833.58023140,23281.62078152564
1653177600,2022-05-22 00:00:00,AVAX/EUR,28.00000,30.73868,27.40000,30.03054,1561.42426321,46890.41379329843
1653264000,2022-05-23 00:00:00,AVAX/EUR,29.80000,30.73868,27.00000,27.10417,2031.01261303,55048.911135709335
1653350400,2022-05-24 00:00:00,AVAX/EUR,27.00000,27.65638,24.56670,26.94796,1383.50840776,37282.72923198016
1653436800,2022-05-25 00:00:00,AVAX/EUR,26.94796,27.50000,25.40000,25.40000,814.98292072,20700.566186288
1653523200,2022-05-26 00:00:00,AVAX/EUR,25.63934,25.81469,21.39883,21.99755,2041.99167570,44918.813985794535
1653609600,2022-05-27 00:00:00,AVAX/EUR,21.50000,22.20000,19.99990,20.84809,3225.39127505,67243.24758745715
1653696000,2022-05-28 00:00:00,AVAX/EUR,21.43042,23.92295,20.94163,23.50000,2617.00183315,61499.543079025
1653782400,2022-05-29 00:00:00,AVAX/EUR,23.03000,25.16667,22.13509,24.55292,2414.71531821,59288.31203078468
1653868800,2022-05-30 00:00:00,AVAX/EUR,24.55292,26.32767,24.39365,25.56368,896.40236186,22915.343129833247
1653955200,2022-05-31 00:00:00,AVAX/EUR,26.41771,27.04077,24.06486,24.91024,3106.74428916,77389.745861605
1654041600,2022-06-01 00:00:00,AVAX/EUR,25.11788,25.14572,21.86652,22.50290,2183.64945824,49138.4453938289
1654128000,2022-06-02 00:00:00,AVAX/EUR,22.02864,23.10000,21.34740,22.86503,841.17286382,19233.442766430213
1654214400,2022-06-03 00:00:00,AVAX/EUR,22.69881,22.69881,21.11112,21.50075,454.87892360,9780.2380165927
1654300800,2022-06-04 00:00:00,AVAX/EUR,21.00000,22.75646,20.87000,22.67930,623.24383816,14134.73397878209
1654387200,2022-06-05 00:00:00,AVAX/EUR,22.89620,23.32028,22.39434,22.54435,452.22567791,10195.133961790309
1654473600,2022-06-06 00:00:00,AVAX/EUR,22.88000,25.81603,22.88000,24.11801,1194.60302295,28811.44765353833
1654560000,2022-06-07 00:00:00,AVAX/EUR,23.07785,24.18859,21.94757,22.79860,2243.17206137,51141.18255835008
