https://www.Saxcoin-b6.nl,AXS,Axie Infinity
unix,date,symbol,open,high,low,close,volume,total
1648425600,2022-03-28 00:00:00,AXS/EUR,61.43029,65.75000,60.00000,60.00000,6903.50459787,414210.2758722
1648512000,2022-03-29 00:00:00,AXS/EUR,61.61774,64.00050,57.02137,57.51803,2553.84866257,146892.34398916116
1648598400,2022-03-30 00:00:00,AXS/EUR,57.30580,59.65690,55.74911,57.40129,2032.69371695,116679.24152782487
1648684800,2022-03-31 00:00:00,AXS/EUR,58.31436,60.84613,55.94941,56.75000,864.10698041,49038.0711382675
1648771200,2022-04-01 00:00:00,AXS/EUR,57.51164,60.90000,55.11000,60.14929,877.09924002,52756.89654674259
1648857600,2022-04-02 00:00:00,AXS/EUR,62.00000,68.25000,59.00000,59.27600,5568.37138906,330070.7824579206
1648944000,2022-04-03 00:00:00,AXS/EUR,58.95176,61.82389,58.10000,61.03838,2442.25681509,149071.39953705316
1649030400,2022-04-04 00:00:00,AXS/EUR,58.90000,60.77680,56.26969,58.62125,1654.58511870,96993.84788959239
1649116800,2022-04-05 00:00:00,AXS/EUR,58.35740,61.50000,56.32642,56.95375,1207.64106717,68779.68742933338
1649203200,2022-04-06 00:00:00,AXS/EUR,56.10000,57.02119,49.18000,49.18000,2167.88592469,106616.62977625421
1649289600,2022-04-07 00:00:00,AXS/EUR,48.50000,51.17519,48.00000,50.01724,824.35590941,41232.00736637823
1649376000,2022-04-08 00:00:00,AXS/EUR,50.41503,50.91729,46.97048,46.97048,618.43646202,29048.25747058117
1649462400,2022-04-09 00:00:00,AXS/EUR,47.42581,48.17842,46.66507,47.12366,129.14651060,6085.856255700796
1649548800,2022-04-10 00:00:00,AXS/EUR,47.30000,47.66280,45.00000,45.00000,294.26676122,13242.004254899999
1649635200,2022-04-11 00:00:00,AXS/EUR,44.13671,44.13671,41.20864,41.40329,1363.32730236,56446.23566452876
1649721600,2022-04-12 00:00:00,AXS/EUR,41.96358,44.93403,41.77996,43.09138,1556.75886467,67082.88780586355
1649808000,2022-04-13 00:00:00,AXS/EUR,43.76843,44.76432,43.43824,44.35025,525.18889793,23292.258920419987
1649894400,2022-04-14 00:00:00,AXS/EUR,45.28267,45.28267,42.31710,43.20967,366.50688281,15836.641458948772
1649980800,2022-04-15 00:00:00,AXS/EUR,43.83000,46.16546,43.54594,44.27474,531.07190137,23513.070354462394
1650067200,2022-04-16 00:00:00,AXS/EUR,44.67636,44.88365,43.47962,44.17597,218.20702883,9639.507159383216
1650153600,2022-04-17 00:00:00,AXS/EUR,43.91745,44.29034,42.00000,42.00000,363.11120790,15250.6707318
1650240000,2022-04-18 00:00:00,AXS/EUR,42.52261,42.85000,40.00000,42.85000,1824.32819936,78172.46334257601
1650326400,2022-04-19 00:00:00,AXS/EUR,42.80054,44.40721,42.35876,43.30694,329.92486126,14288.036171095144
1650412800,2022-04-20 00:00:00,AXS/EUR,43.20465,44.55067,42.00000,42.53015,526.96506627,22411.90331322304
1650499200,2022-04-21 00:00:00,AXS/EUR,43.00000,43.50806,41.21966,41.50000,443.81576255,18418.354145825
1650585600,2022-04-22 00:00:00,AXS/EUR,42.66747,42.98512,41.68669,42.43487,245.25593555,10407.403741792628
1650672000,2022-04-23 00:00:00,AXS/EUR,42.34380,42.47810,42.15140,42.33740,299.88698786,12696.435359823963
1650758400,2022-04-24 00:00:00,AXS/EUR,41.94623,42.19990,41.12167,41.25889,171.20667962,7063.797561706821
1650844800,2022-04-25 00:00:00,AXS/EUR,41.00000,41.00000,37.50000,40.03760,1203.72570433,48194.288259682806
1650931200,2022-04-26 00:00:00,AXS/EUR,40.03760,40.56381,35.97980,36.90051,1427.57902963,52678.3942586521
1651017600,2022-04-27 00:00:00,AXS/EUR,36.58857,37.85315,35.29256,36.61883,404.07791127,14796.860339551216
1651104000,2022-04-28 00:00:00,AXS/EUR,36.61201,38.09114,35.80999,36.17547,1655.70053188,59895.744920008976
1651190400,2022-04-29 00:00:00,AXS/EUR,36.04888,36.04888,32.00000,32.48850,1019.09156219,33108.75621820982
1651276800,2022-04-30 00:00:00,AXS/EUR,32.04102,32.97670,26.00000,27.90117,1307.61152687,36483.89150515944
1651363200,2022-05-01 00:00:00,AXS/EUR,27.68545,30.47389,26.88123,30.21650,829.76306362,25072.53561187373
1651449600,2022-05-02 00:00:00,AXS/EUR,30.12143,30.12143,28.41150,28.83071,673.86593172,19428.03325629912
1651536000,2022-05-03 00:00:00,AXS/EUR,28.70059,29.07602,27.24097,27.57923,785.67342095,21668.26798126687
1651622400,2022-05-04 00:00:00,AXS/EUR,27.67456,31.66608,26.81936,31.43306,1538.43337565,48357.66860280899
1651708800,2022-05-05 00:00:00,AXS/EUR,31.67952,32.78224,26.67800,27.59305,1673.76848224,46184.377418872435
1651795200,2022-05-06 00:00:00,AXS/EUR,26.96036,27.62831,26.00000,26.87220,1292.60452293,34735.12726107955
1651881600,2022-05-07 00:00:00,AXS/EUR,26.60747,27.89116,26.08531,27.51738,557.94809753,15353.269820010071
1651968000,2022-05-08 00:00:00,AXS/EUR,27.11130,29.82980,26.90123,28.78462,2432.19779581,70009.88931722844
1652054400,2022-05-09 00:00:00,AXS/EUR,29.35922,29.41696,24.38694,24.60190,3095.87602706,76164.43243012742
1652140800,2022-05-10 00:00:00,AXS/EUR,23.60123,26.65484,22.41350,23.00453,2190.40710682,50389.28600105389
1652227200,2022-05-11 00:00:00,AXS/EUR,23.09764,23.41041,15.65223,17.90000,4125.76833825,73851.25325467499
1652313600,2022-05-12 00:00:00,AXS/EUR,17.95097,23.11113,16.40000,18.97411,8572.71889832,162659.7113758025
1652400000,2022-05-13 00:00:00,AXS/EUR,18.47984,23.20408,18.33347,19.40140,6493.77608167,125988.34727091233
1652486400,2022-05-14 00:00:00,AXS/EUR,19.23658,20.82962,18.47975,20.00000,4476.69453917,89533.8907834
1652572800,2022-05-15 00:00:00,AXS/EUR,20.72452,22.58021,19.80622,22.49851,1381.19872271,31074.913274878163
1652659200,2022-05-16 00:00:00,AXS/EUR,21.42245,21.42245,19.15000,19.15000,2873.74521985,55032.220960127495
1652745600,2022-05-17 00:00:00,AXS/EUR,19.00000,21.70564,19.00000,21.29394,864.06145595,18399.27279931194
1652832000,2022-05-18 00:00:00,AXS/EUR,20.35546,21.30771,19.44005,20.58030,2917.08561910,60034.49716676373
1652918400,2022-05-19 00:00:00,AXS/EUR,20.59977,20.81041,18.88440,20.32056,1703.42440759,34614.537879897056
1653004800,2022-05-20 00:00:00,AXS/EUR,20.35446,20.55532,19.18482,19.66764,1244.85723866,24483.404021358958
1653091200,2022-05-21 00:00:00,AXS/EUR,19.36250,20.07673,19.29636,19.79289,451.63076783,8939.078108274729
