https://www.Saxcoin-b6.nl,BAT,Basic Attention Token
unix,date,symbol,open,high,low,close,volume,total
1648425600,2022-03-28 00:00:00,BAT/EUR,0.82900,0.84557,0.78880,0.79327,52740.07081287,41837.115973725384
1648512000,2022-03-29 00:00:00,BAT/EUR,0.79899,0.82915,0.78111,0.79900,38417.69330555,30695.73695113445
1648598400,2022-03-30 00:00:00,BAT/EUR,0.78011,0.81900,0.77500,0.80458,60925.63023735,49019.54357636706
1648684800,2022-03-31 00:00:00,BAT/EUR,0.80900,0.84087,0.77500,0.77500,67212.06615978,52089.3512738295
1648771200,2022-04-01 00:00:00,BAT/EUR,0.79186,0.80900,0.75011,0.80632,31576.33441010,25460.629961551833
1648857600,2022-04-02 00:00:00,BAT/EUR,0.81900,0.86280,0.80366,0.84011,44839.95210362,37670.4921617722
1648944000,2022-04-03 00:00:00,BAT/EUR,0.83518,0.88555,0.83518,0.86335,25780.61550742,22257.694398331056
1649030400,2022-04-04 00:00:00,BAT/EUR,0.85035,0.85035,0.78011,0.81196,75947.88721874,61666.64650612813
1649116800,2022-04-05 00:00:00,BAT/EUR,0.81315,0.81961,0.77000,0.77000,146506.16294887,112809.74547062992
1649203200,2022-04-06 00:00:00,BAT/EUR,0.76200,0.76200,0.69035,0.69035,155514.99844024,107359.77917321968
1649289600,2022-04-07 00:00:00,BAT/EUR,0.69900,0.73120,0.68292,0.72594,37911.31106136,27521.33715188368
1649376000,2022-04-08 00:00:00,BAT/EUR,0.73126,0.73126,0.67356,0.67356,28604.58992064,19266.90758694628
1649462400,2022-04-09 00:00:00,BAT/EUR,0.68510,0.70900,0.68510,0.70781,30507.97112862,21593.847044548525
1649548800,2022-04-10 00:00:00,BAT/EUR,0.71222,0.71222,0.68000,0.68000,14535.61605691,9884.2189186988
1649635200,2022-04-11 00:00:00,BAT/EUR,0.67638,0.68305,0.61646,0.63400,78901.78156562,50023.72951260308
1649721600,2022-04-12 00:00:00,BAT/EUR,0.63846,0.66900,0.62840,0.65610,48553.67851215,31856.068471821614
1649808000,2022-04-13 00:00:00,BAT/EUR,0.67071,0.68134,0.66044,0.68134,60912.18989301,41501.91146170343
1649894400,2022-04-14 00:00:00,BAT/EUR,0.68400,0.69407,0.65010,0.66271,62992.50828788,41745.76516746096
1649980800,2022-04-15 00:00:00,BAT/EUR,0.66900,0.67900,0.65972,0.67071,6248.56968001,4190.978170079507
1650067200,2022-04-16 00:00:00,BAT/EUR,0.67133,0.72414,0.67133,0.71900,208660.24796145,150026.71828428254
1650153600,2022-04-17 00:00:00,BAT/EUR,0.70282,0.71999,0.66556,0.66977,121389.13768068,81302.80274438903
1650240000,2022-04-18 00:00:00,BAT/EUR,0.67122,0.71000,0.65000,0.70783,55730.81627300,39447.94368251759
1650326400,2022-04-19 00:00:00,BAT/EUR,0.70999,0.71900,0.68990,0.71900,22857.13201032,16434.27791542008
1650412800,2022-04-20 00:00:00,BAT/EUR,0.71364,0.71400,0.68305,0.69900,12934.19927117,9041.00529054783
