https://www.Saxcoin-b6.nl,BCH,Bitcoin Cash
unix,date,symbol,open,high,low,close,volume,total
1514419200,2017-12-28 00:00:00,BCH/EUR,2027.48,2128.73,1975.0,2106.06,2786759.75,1366.05
1514505600,2017-12-29 00:00:00,BCH/EUR,2106.06,2435.33,1941.66,2205.1,8897066.62,4049.78
1514592000,2017-12-30 00:00:00,BCH/EUR,2205.1,2239.0,1781.68,1867.63,5612102.87,2864.52
1514678400,2017-12-31 00:00:00,BCH/EUR,1867.63,2100.01,1835.0,1972.58,3096272.44,1564.01
1514764800,2018-01-01 00:00:00,BCH/EUR,1972.58,2029.15,1881.01,1942.38,969866.65,499.04
1514851200,2018-01-02 00:00:00,BCH/EUR,1942.38,2252.0,1920.03,2104.77,4492904.34,2128.04
1514937600,2018-01-03 00:00:00,BCH/EUR,2104.77,2298.99,2076.28,2125.27,4760282.77,2205.35
1515024000,2018-01-04 00:00:00,BCH/EUR,2125.27,2139.01,1936.9,1978.74,4446767.6,2220.24
1515110400,2018-01-05 00:00:00,BCH/EUR,1978.74,2095.0,1901.01,1971.08,4125819.99,2080.17
1515196800,2018-01-06 00:00:00,BCH/EUR,1971.08,2168.26,1920.07,2086.03,2486793.68,1204.92
1515283200,2018-01-07 00:00:00,BCH/EUR,2086.03,2300.87,2027.0,2090.0,8204537.26,3740.73
1515369600,2018-01-08 00:00:00,BCH/EUR,2090.0,2110.0,1800.0,2005.0,4446879.43,2246.08
1515456000,2018-01-09 00:00:00,BCH/EUR,2005.0,2052.97,1900.1,1954.3,2804245.2,1404.84
1515542400,2018-01-10 00:00:00,BCH/EUR,1954.3,2479.99,1865.0,2370.0,9201790.97,4125.84
1515628800,2018-01-11 00:00:00,BCH/EUR,2370.0,2459.99,1975.0,2003.4,5266366.63,2495.18
1515715200,2018-01-12 00:00:00,BCH/EUR,2003.4,2168.99,1960.0,2140.94,3129523.42,1497.97
1515801600,2018-01-13 00:00:00,BCH/EUR,2140.94,2332.32,2088.0,2190.69,2826081.07,1289.39
1515888000,2018-01-14 00:00:00,BCH/EUR,2190.69,2234.99,2026.66,2072.32,1192993.55,567.61
1515974400,2018-01-15 00:00:00,BCH/EUR,2072.32,2099.0,1910.0,1957.55,4867484.68,2439.44
1516060800,2018-01-16 00:00:00,BCH/EUR,1957.55,1992.59,1249.01,1464.55,9264678.62,5838.78
1516147200,2018-01-17 00:00:00,BCH/EUR,1464.55,1577.39,1078.7,1438.62,5874931.65,4410.84
1516233600,2018-01-18 00:00:00,BCH/EUR,1438.62,1600.0,1388.63,1429.98,4773330.76,3109.2
1516320000,2018-01-19 00:00:00,BCH/EUR,1429.98,1570.0,1422.8,1452.7,2696355.88,1829.77
1516406400,2018-01-20 00:00:00,BCH/EUR,1452.7,1744.99,1450.14,1672.0,3013218.89,1889.38
1516492800,2018-01-21 00:00:00,BCH/EUR,1672.0,1675.15,1400.13,1462.25,2668788.63,1796.42
1516579200,2018-01-22 00:00:00,BCH/EUR,1462.25,1487.28,1233.84,1318.0,3148816.26,2358.7
1516665600,2018-01-23 00:00:00,BCH/EUR,1318.0,1397.99,1211.12,1318.78,2678208.07,2027.14
1516752000,2018-01-24 00:00:00,BCH/EUR,1318.78,1359.6,1275.02,1341.34,2113831.73,1597.75
1516838400,2018-01-25 00:00:00,BCH/EUR,1341.34,1376.42,1279.89,1316.13,1756206.45,1318.56
1516924800,2018-01-26 00:00:00,BCH/EUR,1316.13,1346.78,1190.12,1292.83,2609108.79,2058.18
1517011200,2018-01-27 00:00:00,BCH/EUR,1292.83,1345.0,1255.01,1305.01,498028.42,381.12
1517097600,2018-01-28 00:00:00,BCH/EUR,1305.01,1420.86,1305.01,1400.35,2171927.86,1577.24
1517184000,2018-01-29 00:00:00,BCH/EUR,1400.35,1422.62,1305.02,1332.38,2175050.06,1613.2
1517270400,2018-01-30 00:00:00,BCH/EUR,1332.38,1332.38,1153.01,1160.81,3712398.33,3009.46
1517356800,2018-01-31 00:00:00,BCH/EUR,1160.81,1219.35,1112.0,1188.3,1250320.2,1060.81
1517443200,2018-02-01 00:00:00,BCH/EUR,1188.3,1193.82,917.55,979.77,3616848.69,3564.21
1517529600,2018-02-02 00:00:00,BCH/EUR,979.77,988.64,725.0,959.33,3837493.02,4354.45
1517616000,2018-02-03 00:00:00,BCH/EUR,959.33,1071.85,850.05,1018.73,1129691.6,1157.56
1517702400,2018-02-04 00:00:00,BCH/EUR,1018.73,1028.59,864.91,920.0,603294.55,644.6
1517788800,2018-02-05 00:00:00,BCH/EUR,920.0,949.99,656.0,702.23,2644216.45,3424.45
1517875200,2018-02-06 00:00:00,BCH/EUR,702.23,792.81,606.94,780.92,2250421.3,3275.56
1517961600,2018-02-07 00:00:00,BCH/EUR,780.92,849.97,722.83,770.01,893964.91,1115.91
1518048000,2018-02-08 00:00:00,BCH/EUR,770.01,1100.0,760.01,1042.55,3661304.09,3665.36
1518134400,2018-02-09 00:00:00,BCH/EUR,1042.55,1090.0,966.0,1064.95,2141864.19,2041.11
1518220800,2018-02-10 00:00:00,BCH/EUR,1064.95,1128.96,974.0,1012.0,1464340.02,1397.41
1518307200,2018-02-11 00:00:00,BCH/EUR,1012.0,1064.85,971.0,974.12,760942.4,756.2
1518393600,2018-02-12 00:00:00,BCH/EUR,974.12,1055.01,973.85,1047.78,915474.87,887.2
1518480000,2018-02-13 00:00:00,BCH/EUR,1047.78,1047.83,975.0,987.85,1160655.24,1130.6
1518566400,2018-02-14 00:00:00,BCH/EUR,987.85,1118.98,987.85,1095.92,1054620.36,990.7
1518652800,2018-02-15 00:00:00,BCH/EUR,1095.92,1128.15,1051.05,1098.0,1304526.96,1192.69
1518739200,2018-02-16 00:00:00,BCH/EUR,1098.0,1247.9,1090.47,1230.54,1508973.17,1268.54
1518825600,2018-02-17 00:00:00,BCH/EUR,1230.54,1253.05,1202.07,1250.14,689571.67,558.99
1518912000,2018-02-18 00:00:00,BCH/EUR,1250.14,1328.78,1130.0,1182.58,1101258.4,902.22
1518998400,2018-02-19 00:00:00,BCH/EUR,1182.58,1247.4,1180.09,1225.31,671902.29,551.13
1519084800,2018-02-20 00:00:00,BCH/EUR,1225.31,1259.49,1119.92,1129.0,936886.55,775.59
1519171200,2018-02-21 00:00:00,BCH/EUR,1129.0,1141.6,1020.06,1058.98,894693.53,826.11
1519257600,2018-02-22 00:00:00,BCH/EUR,1058.98,1097.01,952.0,976.07,957840.05,964.11
1519344000,2018-02-23 00:00:00,BCH/EUR,976.07,1069.96,928.01,1020.91,871923.16,852.59
1519430400,2018-02-24 00:00:00,BCH/EUR,1020.91,1053.52,910.05,956.22,513293.19,522.21
1519516800,2018-02-25 00:00:00,BCH/EUR,956.22,980.0,922.03,951.2,225623.63,236.29
1519603200,2018-02-26 00:00:00,BCH/EUR,951.2,1036.03,925.0,1009.0,884352.46,910.33
1519689600,2018-02-27 00:00:00,BCH/EUR,1009.0,1048.45,989.01,1008.0,755830.1,735.2
