https://www.Saxcoin-b6.nl,BNB,Binance Coin
unix,date,symbol,open,high,low,close,volume,total
1578009600000,2020-01-03 00:00:00,BNB/EUR,11.85,12.2575,11.85,12.0992,205.73,2504.702034
1578096000000,2020-01-04 00:00:00,BNB/EUR,12.107,12.4087,12.107,12.3049,846.63,10336.399788
1578182400000,2020-01-05 00:00:00,BNB/EUR,12.3358,12.8459,12.3358,12.4934,3225.79,40267.749882
1578268800000,2020-01-06 00:00:00,BNB/EUR,12.5431,13.4977,12.5431,13.3084,87.35,1143.945977
1578355200000,2020-01-07 00:00:00,BNB/EUR,13.4429,13.5328,12.9098,13.3315,811.6,10662.480822
1578441600000,2020-01-08 00:00:00,BNB/EUR,13.4557,13.5738,12.6033,13.1114,543.95,7100.198145
1578528000000,2020-01-09 00:00:00,BNB/EUR,12.97,13.1495,12.7045,12.8113,379.51,4872.777601
1578614400000,2020-01-10 00:00:00,BNB/EUR,12.9604,13.4465,12.699,13.4465,304.89,4061.192195
1578700800000,2020-01-11 00:00:00,BNB/EUR,13.5155,13.7894,13.2825,13.4961,496.44,6738.12096
1578787200000,2020-01-12 00:00:00,BNB/EUR,13.3876,13.8471,13.3347,13.7233,168.24,2319.516367
1578873600000,2020-01-13 00:00:00,BNB/EUR,13.547,13.5751,13.4111,13.5751,10.76,145.423613
1578960000000,2020-01-14 00:00:00,BNB/EUR,13.63,15.1496,13.63,14.99,531.58,7612.655552
1579046400000,2020-01-15 00:00:00,BNB/EUR,14.99,16.2099,14.6459,15.7383,1006.12,15439.984397
1579132800000,2020-01-16 00:00:00,BNB/EUR,15.7289,15.7289,14.6788,15.425,302.23,4606.115203
1579219200000,2020-01-17 00:00:00,BNB/EUR,15.7228,16.5122,15.5198,16.3895,1090.56,17507.093948
1579305600000,2020-01-18 00:00:00,BNB/EUR,16.2053,16.4657,15.8414,16.1565,548.84,8846.400864
1579392000000,2020-01-19 00:00:00,BNB/EUR,16.0151,16.6023,15.0016,15.6427,627.67,9688.059035
1579478400000,2020-01-20 00:00:00,BNB/EUR,15.5463,15.7676,15.15,15.3685,990.46,15305.340702
1579564800000,2020-01-21 00:00:00,BNB/EUR,15.5738,16.3851,15.5606,16.21,180.03,2852.382792
1579651200000,2020-01-22 00:00:00,BNB/EUR,16.285,16.4289,15.8365,15.9021,347.88,5601.641345
1579737600000,2020-01-23 00:00:00,BNB/EUR,15.9021,15.9021,15.149,15.4956,1184.84,18076.018433
1579824000000,2020-01-24 00:00:00,BNB/EUR,15.1716,15.6992,14.8808,15.3502,665.98,10154.961443
1579910400000,2020-01-25 00:00:00,BNB/EUR,15.3339,15.4227,14.973,15.4042,258.28,3925.869264
1579996800000,2020-01-26 00:00:00,BNB/EUR,15.319,15.7976,15.319,15.7931,401.37,6201.393396
1580083200000,2020-01-27 00:00:00,BNB/EUR,15.819,16.1972,15.5995,16.0038,270.78,4328.429612
1580169600000,2020-01-28 00:00:00,BNB/EUR,16.1494,16.4212,15.6926,16.3549,914.27,14753.590908
1580256000000,2020-01-29 00:00:00,BNB/EUR,16.3874,16.6966,16.1945,16.1945,577.25,9497.727664
1580342400000,2020-01-30 00:00:00,BNB/EUR,16.1438,16.9384,16.0206,16.9232,843.5,13919.949929
1580428800000,2020-01-31 00:00:00,BNB/EUR,16.8825,17.0562,16.171,16.3413,280.74,4632.691714
1580515200000,2020-02-01 00:00:00,BNB/EUR,16.7,16.7,16.258,16.4218,198.21,3269.100234
1580601600000,2020-02-02 00:00:00,BNB/EUR,16.35,16.9,16.1112,16.7035,417.59,6843.816387
1580688000000,2020-02-03 00:00:00,BNB/EUR,16.917,16.917,16.2076,16.7206,669.03,11101.158902
1580774400000,2020-02-04 00:00:00,BNB/EUR,16.7533,16.7533,16.1311,16.4513,179.87,2950.150047
1580860800000,2020-02-05 00:00:00,BNB/EUR,16.5936,17.6054,16.5936,17.5424,899.48,15386.101441
1580947200000,2020-02-06 00:00:00,BNB/EUR,17.431,18.9662,17.431,18.6591,1590.46,28763.714801
1581033600000,2020-02-07 00:00:00,BNB/EUR,18.9549,20.4289,18.9549,20.145,1888.37,37712.459802
1581120000000,2020-02-08 00:00:00,BNB/EUR,19.9484,20.3452,19.0689,20.0055,2217.51,43885.381559
1581206400000,2020-02-09 00:00:00,BNB/EUR,20.17,22.0287,20.14,21.7465,1682.69,35435.56301
1581292800000,2020-02-10 00:00:00,BNB/EUR,22.0665,23.5342,21.3592,23.0499,4120.06,92098.631432
1581379200000,2020-02-11 00:00:00,BNB/EUR,22.9329,23.6891,22.1864,23.5983,2266.32,52452.159637
1581465600000,2020-02-12 00:00:00,BNB/EUR,23.575,24.8,23.3244,24.2093,1630.9,38549.155494
1581552000000,2020-02-13 00:00:00,BNB/EUR,24.3442,24.9422,22.624,23.4338,2653.97,62259.090396
1581638400000,2020-02-14 00:00:00,BNB/EUR,23.49,24.4408,23.0672,24.288,2280.82,54438.265109
1581724800000,2020-02-15 00:00:00,BNB/EUR,24.288,24.3759,21.7146,22.2085,1388.85,31866.125608
1581811200000,2020-02-16 00:00:00,BNB/EUR,22.0764,23.1558,20.155,21.6055,1792.9,38507.407472
1581897600000,2020-02-17 00:00:00,BNB/EUR,21.4755,21.6275,19.8596,21.58,2402.66,50085.380484
1581984000000,2020-02-18 00:00:00,BNB/EUR,21.1843,22.6647,20.9542,22.3435,1567.96,34518.302132
1582070400000,2020-02-19 00:00:00,BNB/EUR,22.2582,22.577,20.117,20.5296,1508.04,32749.723333
1582156800000,2020-02-20 00:00:00,BNB/EUR,20.8871,20.8871,19.4834,20.4891,846.76,17105.169344
1582243200000,2020-02-21 00:00:00,BNB/EUR,20.5694,21.1181,20.0924,20.1772,429.24,8802.395962
1582329600000,2020-02-22 00:00:00,BNB/EUR,20.3784,20.5611,19.8666,20.2884,675.88,13641.538888
1582416000000,2020-02-23 00:00:00,BNB/EUR,20.3636,21.2592,20.3636,21.0812,1384.67,29086.009982
1582502400000,2020-02-24 00:00:00,BNB/EUR,21.2456,21.5755,19.7704,20.2871,736.81,15206.642309
1582588800000,2020-02-25 00:00:00,BNB/EUR,20.2871,20.2871,18.1792,18.685,999.5,19250.708659
1582675200000,2020-02-26 00:00:00,BNB/EUR,18.8069,18.8069,6.0802,17.1786,2119.76,36495.648046
1582761600000,2020-02-27 00:00:00,BNB/EUR,17.0588,17.9999,16.323,17.359,1743.75,30379.632679
1582848000000,2020-02-28 00:00:00,BNB/EUR,17.4665,17.5584,16.3443,17.5584,1272.08,21795.069381
1582934400000,2020-02-29 00:00:00,BNB/EUR,17.5587,18.2612,17.1824,17.518,800.16,14171.915625
1583020800000,2020-03-01 00:00:00,BNB/EUR,17.4534,18.0691,16.6047,17.203,646.34,11075.378672
1583107200000,2020-03-02 00:00:00,BNB/EUR,17.0254,18.1234,17.0254,17.9219,883.05,15667.937417
1583193600000,2020-03-03 00:00:00,BNB/EUR,17.7749,18.2989,17.3373,17.58,1043.03,18641.932988
1583280000000,2020-03-04 00:00:00,BNB/EUR,17.749,18.29,17.4376,18.0949,650.3,11657.828968
1583366400000,2020-03-05 00:00:00,BNB/EUR,18.1452,19.367,18.1452,18.5192,1218.75,22989.214609
1583452800000,2020-03-06 00:00:00,BNB/EUR,18.812,19.4185,18.6017,19.012,1012.0,19108.846901
1583539200000,2020-03-07 00:00:00,BNB/EUR,19.125,19.125,17.7534,17.9,883.35,16128.826987
1583625600000,2020-03-08 00:00:00,BNB/EUR,17.8973,17.8973,14.9074,14.9074,14807.3,238913.239259
1583712000000,2020-03-09 00:00:00,BNB/EUR,15.2056,15.4199,13.6086,14.4649,26158.16,360905.749278
1583798400000,2020-03-10 00:00:00,BNB/EUR,14.6497,15.5086,14.5234,15.1281,2269.86,33951.908723
1583884800000,2020-03-11 00:00:00,BNB/EUR,14.9512,15.1475,13.7163,14.7626,760.29,10948.369409
1583971200000,2020-03-12 00:00:00,BNB/EUR,14.5545,14.5545,8.0001,8.2438,19133.4,202547.907292
1584057600000,2020-03-13 00:00:00,BNB/EUR,8.4297,10.4854,5.9122,10.0916,33967.8,313783.068286
1584144000000,2020-03-14 00:00:00,BNB/EUR,10.092,10.303,9.0,9.259,6692.51,65863.289214
1584230400000,2020-03-15 00:00:00,BNB/EUR,9.1709,10.117,9.07,9.3812,2853.91,27050.94486
1584316800000,2020-03-16 00:00:00,BNB/EUR,9.3652,9.3918,7.6469,8.4527,9569.08,79175.467399
1584403200000,2020-03-17 00:00:00,BNB/EUR,8.4889,9.6756,8.4479,9.4556,3721.96,34672.287579
1584489600000,2020-03-18 00:00:00,BNB/EUR,9.4939,9.6001,8.9957,9.5322,3197.83,30030.762992
1584576000000,2020-03-19 00:00:00,BNB/EUR,9.5705,12.0,9.5322,11.5977,11121.76,119299.422924
1584662400000,2020-03-20 00:00:00,BNB/EUR,11.7153,12.8266,9.7981,11.1559,10704.21,127554.830199
1584748800000,2020-03-21 00:00:00,BNB/EUR,11.08,11.7989,10.7,11.3502,1589.02,17875.526601
1584835200000,2020-03-22 00:00:00,BNB/EUR,11.3526,11.7001,10.4725,10.5485,2115.09,23193.066115
1584921600000,2020-03-23 00:00:00,BNB/EUR,10.5249,11.74,10.2448,11.3939,3819.41,42073.066866
1585008000000,2020-03-24 00:00:00,BNB/EUR,11.3939,11.8729,11.1642,11.6,7275.39,82976.671918
1585094400000,2020-03-25 00:00:00,BNB/EUR,11.5428,11.766,11.2823,11.4684,2243.3,25762.830108
1585180800000,2020-03-26 00:00:00,BNB/EUR,11.4311,12.1693,11.1335,12.1172,2763.88,31578.177107
1585267200000,2020-03-27 00:00:00,BNB/EUR,12.0906,12.29,10.9,11.2764,1576.83,18697.731404
1585353600000,2020-03-28 00:00:00,BNB/EUR,11.1133,11.3582,10.717,11.18,2144.7,23861.315786
1585440000000,2020-03-29 00:00:00,BNB/EUR,11.052,11.052,10.3606,10.3606,1652.76,17889.807434
1585526400000,2020-03-30 00:00:00,BNB/EUR,10.35,11.4854,10.3242,11.2493,1832.01,20525.509971
1585612800000,2020-03-31 00:00:00,BNB/EUR,11.2754,11.8094,11.23,11.6,2086.23,24072.654348
1585699200000,2020-04-01 00:00:00,BNB/EUR,11.589,11.772,11.1447,11.772,948.91,10844.046575
1585785600000,2020-04-02 00:00:00,BNB/EUR,11.772,12.8329,11.6333,12.164,4773.21,57514.485751
1585872000000,2020-04-03 00:00:00,BNB/EUR,12.121,12.7365,12.1118,12.53,1192.52,14792.636224
1585958400000,2020-04-04 00:00:00,BNB/EUR,12.5964,13.1916,12.4515,12.9901,2718.87,35056.475458
1586044800000,2020-04-05 00:00:00,BNB/EUR,13.0595,13.0904,12.5,12.6663,1139.05,14517.989276
1586131200000,2020-04-06 00:00:00,BNB/EUR,12.7712,14.2376,12.7712,14.2014,2127.5,28572.452472
1586217600000,2020-04-07 00:00:00,BNB/EUR,14.0971,14.3,13.2263,13.4039,2785.6,38555.973465
1586304000000,2020-04-08 00:00:00,BNB/EUR,13.6039,14.1374,13.4194,13.9788,1198.76,16683.919614
1586390400000,2020-04-09 00:00:00,BNB/EUR,14.0796,14.0796,13.5,13.9636,1265.02,17608.15431
