https://www.Saxcoin-b6.nl,DOGE,Dogecoin
unix,date,symbol,open,high,low,close,volume,total
1611878400000,2021-01-29 00:00:00,DOGE/EUR,0.04684,0.19,0.03178,0.0377,376560768.3,16505141.819844
1611964800000,2021-01-30 00:00:00,DOGE/EUR,0.0377,0.042,0.0183,0.02326,505652335.1,13179189.801259
1612051200000,2021-01-31 00:00:00,DOGE/EUR,0.02327,0.0427,0.02204,0.0306,511204715.0,15479873.519431
1612137600000,2021-02-01 00:00:00,DOGE/EUR,0.0306,0.03646,0.02735,0.02896,326741833.5,10444009.272947
1612224000000,2021-02-02 00:00:00,DOGE/EUR,0.02884,0.02921,0.02391,0.02612,192889049.7,5152991.239942
1612310400000,2021-02-03 00:00:00,DOGE/EUR,0.02609,0.03324,0.02584,0.0311,412409778.1,12017565.623983
1612396800000,2021-02-04 00:00:00,DOGE/EUR,0.03107,0.05,0.02981,0.04426,1481554048.2,60900432.537978
1612483200000,2021-02-05 00:00:00,DOGE/EUR,0.04426,0.04562,0.03612,0.03889,451582035.2,17656059.089873
1612569600000,2021-02-06 00:00:00,DOGE/EUR,0.03891,0.05,0.03701,0.04807,573384761.0,24819813.03139
1612656000000,2021-02-07 00:00:00,DOGE/EUR,0.04796,0.07344,0.0435,0.06501,1437783940.4,82349318.687234
1612742400000,2021-02-08 00:00:00,DOGE/EUR,0.06487,0.07098,0.05218,0.0655,832354227.1,53362825.097315
1612828800000,2021-02-09 00:00:00,DOGE/EUR,0.0655,0.06944,0.05227,0.05796,504351224.6,30990784.524699
1612915200000,2021-02-10 00:00:00,DOGE/EUR,0.0581,0.0675,0.05503,0.06001,390759814.3,24006504.911094
1613001600000,2021-02-11 00:00:00,DOGE/EUR,0.06014,0.06258,0.05603,0.05769,229589858.4,13567994.900934
1613088000000,2021-02-12 00:00:00,DOGE/EUR,0.05756,0.061,0.05034,0.05792,233266999.5,13099073.164678
1613174400000,2021-02-13 00:00:00,DOGE/EUR,0.05792,0.0594,0.05457,0.05482,105910022.2,5992665.705549
1613260800000,2021-02-14 00:00:00,DOGE/EUR,0.05491,0.055,0.046,0.05197,272383807.8,13764998.585754
1613347200000,2021-02-15 00:00:00,DOGE/EUR,0.05187,0.05318,0.03954,0.04666,359093680.8,17162472.409716
1613433600000,2021-02-16 00:00:00,DOGE/EUR,0.04672,0.0495,0.04191,0.04439,176538941.6,8126469.392678
1613520000000,2021-02-17 00:00:00,DOGE/EUR,0.04437,0.04565,0.03978,0.04114,179632541.5,7747443.273564
1613606400000,2021-02-18 00:00:00,DOGE/EUR,0.04119,0.05365,0.04066,0.04874,373643845.7,17499206.66567
1613692800000,2021-02-19 00:00:00,DOGE/EUR,0.04874,0.04956,0.04447,0.04535,185959105.4,8643062.527311
1613779200000,2021-02-20 00:00:00,DOGE/EUR,0.04549,0.05018,0.042,0.04489,202713148.6,9406564.443632
1613865600000,2021-02-21 00:00:00,DOGE/EUR,0.04475,0.0495,0.04413,0.04624,150613291.8,6996522.387224
1613952000000,2021-02-22 00:00:00,DOGE/EUR,0.04622,0.05038,0.0379,0.04414,220440809.8,9989849.604459
1614038400000,2021-02-23 00:00:00,DOGE/EUR,0.04414,0.0444,0.03401,0.03932,167192523.1,6448544.308621
1614124800000,2021-02-24 00:00:00,DOGE/EUR,0.03933,0.05012,0.03791,0.04683,222241000.5,10264104.429714
1614211200000,2021-02-25 00:00:00,DOGE/EUR,0.04676,0.04788,0.04089,0.0412,104703940.5,4664735.465838
1614297600000,2021-02-26 00:00:00,DOGE/EUR,0.04126,0.04351,0.04004,0.04194,75389800.6,3147565.033151
1614384000000,2021-02-27 00:00:00,DOGE/EUR,0.04193,0.0432,0.04096,0.04178,59406280.4,2492105.894275
1614470400000,2021-02-28 00:00:00,DOGE/EUR,0.04167,0.04183,0.03723,0.03995,61692408.5,2453064.372392
1614556800000,2021-03-01 00:00:00,DOGE/EUR,0.03995,0.04375,0.03981,0.04205,85552549.2,3567058.564521
1614643200000,2021-03-02 00:00:00,DOGE/EUR,0.04209,0.0437,0.0408,0.0418,101668425.9,4283614.469619
1614729600000,2021-03-03 00:00:00,DOGE/EUR,0.04177,0.0434,0.0415,0.04201,76011924.5,3224657.928331
1614816000000,2021-03-04 00:00:00,DOGE/EUR,0.042,0.0427,0.03982,0.04185,75858377.3,3151442.569648
1614902400000,2021-03-05 00:00:00,DOGE/EUR,0.0419,0.04282,0.04037,0.04163,58833530.6,2444134.892454
1614988800000,2021-03-06 00:00:00,DOGE/EUR,0.04166,0.04419,0.04134,0.04283,92453496.3,3957921.804398
1615075200000,2021-03-07 00:00:00,DOGE/EUR,0.04283,0.04389,0.04225,0.04352,67852323.7,2919453.663051
1615161600000,2021-03-08 00:00:00,DOGE/EUR,0.04362,0.05325,0.04328,0.0531,169762863.5,8117141.344132
1615248000000,2021-03-09 00:00:00,DOGE/EUR,0.05321,0.05321,0.04707,0.04873,119477057.0,5851076.426816
1615334400000,2021-03-10 00:00:00,DOGE/EUR,0.04874,0.04947,0.0458,0.04695,72290492.1,3425823.026804
1615420800000,2021-03-11 00:00:00,DOGE/EUR,0.04699,0.0476,0.04555,0.0466,62581873.7,2906783.516601
1615507200000,2021-03-12 00:00:00,DOGE/EUR,0.04671,0.0477,0.04545,0.04617,60602532.6,2811855.751701
1615593600000,2021-03-13 00:00:00,DOGE/EUR,0.04618,0.05169,0.04583,0.0516,117738520.4,5677220.977389
1615680000000,2021-03-14 00:00:00,DOGE/EUR,0.0516,0.0522,0.04859,0.04859,131774465.5,6641093.501628
1615766400000,2021-03-15 00:00:00,DOGE/EUR,0.04858,0.04976,0.0462,0.04793,88615233.8,4235108.234817
1615852800000,2021-03-16 00:00:00,DOGE/EUR,0.04801,0.04969,0.04662,0.0493,88156397.7,4276092.250257
1615939200000,2021-03-17 00:00:00,DOGE/EUR,0.0493,0.0496,0.04757,0.04833,53452636.6,2592055.797674
1616025600000,2021-03-18 00:00:00,DOGE/EUR,0.04837,0.0494,0.04793,0.04819,68568670.3,3336297.802917
1616112000000,2021-03-19 00:00:00,DOGE/EUR,0.04824,0.05036,0.04752,0.04905,67635165.6,3330428.757411
1616198400000,2021-03-20 00:00:00,DOGE/EUR,0.04905,0.05115,0.04884,0.04953,75317488.9,3761150.612566
1616284800000,2021-03-21 00:00:00,DOGE/EUR,0.04953,0.05014,0.04788,0.04848,42044686.2,2051043.334295
1616371200000,2021-03-22 00:00:00,DOGE/EUR,0.04848,0.04884,0.0459,0.04619,44600831.7,2127300.309546
1616457600000,2021-03-23 00:00:00,DOGE/EUR,0.04618,0.04716,0.04428,0.04518,48554466.1,2226037.894686
1616544000000,2021-03-24 00:00:00,DOGE/EUR,0.04515,0.04797,0.04329,0.04378,52894465.6,2442144.237936
1616630400000,2021-03-25 00:00:00,DOGE/EUR,0.04378,0.04464,0.04218,0.0436,48231805.4,2094584.697219
1616716800000,2021-03-26 00:00:00,DOGE/EUR,0.0436,0.04589,0.0436,0.04589,33656015.1,1512576.967281
1616803200000,2021-03-27 00:00:00,DOGE/EUR,0.04582,0.04712,0.04532,0.04618,37715075.9,1741725.221051
1616889600000,2021-03-28 00:00:00,DOGE/EUR,0.04619,0.0465,0.04497,0.04556,26612018.8,1215781.957073
1616976000000,2021-03-29 00:00:00,DOGE/EUR,0.04556,0.04644,0.04518,0.04598,49389842.7,2263533.979833
1617062400000,2021-03-30 00:00:00,DOGE/EUR,0.04591,0.04742,0.04561,0.04616,44863109.9,2084421.903224
1617148800000,2021-03-31 00:00:00,DOGE/EUR,0.04612,0.04652,0.04419,0.04587,37816000.3,1723982.713846
1617235200000,2021-04-01 00:00:00,DOGE/EUR,0.04586,0.06084,0.04573,0.05282,410482023.3,21882438.642877
1617321600000,2021-04-02 00:00:00,DOGE/EUR,0.05282,0.05343,0.04877,0.04892,120632371.3,6045516.103222
1617408000000,2021-04-03 00:00:00,DOGE/EUR,0.04894,0.05049,0.04746,0.04746,74882955.8,3701862.761838
1617494400000,2021-04-04 00:00:00,DOGE/EUR,0.04746,0.04966,0.04715,0.0489,60048881.1,2922378.138008
1617580800000,2021-04-05 00:00:00,DOGE/EUR,0.0489,0.05132,0.04802,0.05071,87769402.0,4328344.707799
1617667200000,2021-04-06 00:00:00,DOGE/EUR,0.05076,0.05531,0.04921,0.05432,173437229.5,8975095.027981
1617753600000,2021-04-07 00:00:00,DOGE/EUR,0.05436,0.05693,0.04824,0.0498,156930667.2,8180299.797961
1617840000000,2021-04-08 00:00:00,DOGE/EUR,0.04986,0.05265,0.04965,0.05191,60105724.3,3091238.514191
1617926400000,2021-04-09 00:00:00,DOGE/EUR,0.05201,0.05407,0.05091,0.05192,83493650.8,4365683.80642
1618012800000,2021-04-10 00:00:00,DOGE/EUR,0.05193,0.05439,0.05114,0.05343,100672701.3,5325874.388807
1618099200000,2021-04-11 00:00:00,DOGE/EUR,0.05353,0.06725,0.05306,0.06239,445729752.3,27100090.814014
1618185600000,2021-04-12 00:00:00,DOGE/EUR,0.06237,0.06333,0.05775,0.05928,123009569.5,7387573.334495
1618272000000,2021-04-13 00:00:00,DOGE/EUR,0.05934,0.08094,0.05931,0.07897,394379437.9,27872836.760844
1618358400000,2021-04-14 00:00:00,DOGE/EUR,0.079,0.12164,0.07718,0.10145,900253303.5,94072409.786351
1618444800000,2021-04-15 00:00:00,DOGE/EUR,0.1014,0.1617,0.10015,0.15262,795492973.5,104439764.539021
1618531200000,2021-04-16 00:00:00,DOGE/EUR,0.15291,0.38778,0.15,0.30508,1887719527.0,500395459.34412706
1618617600000,2021-04-17 00:00:00,DOGE/EUR,0.30586,0.31862,0.19389,0.23758,1210229541.9,300613709.04633
1618704000000,2021-04-18 00:00:00,DOGE/EUR,0.23841,0.2965,0.2115,0.27138,746782651.5,194954979.42535
1618790400000,2021-04-19 00:00:00,DOGE/EUR,0.27168,0.3652,0.25938,0.34082,815310662.8,261911148.380629
1618876800000,2021-04-20 00:00:00,DOGE/EUR,0.34091,0.36,0.22501,0.26468,879077334.4,260637878.465902
1618963200000,2021-04-21 00:00:00,DOGE/EUR,0.26465,0.28999,0.24701,0.25434,420236492.1,111176353.354997
1619049600000,2021-04-22 00:00:00,DOGE/EUR,0.25443,0.25767,0.21011,0.21725,658645396.5,153284479.978488
1619136000000,2021-04-23 00:00:00,DOGE/EUR,0.21738,0.22423,0.105,0.20719,791602136.8,146950988.225806
1619222400000,2021-04-24 00:00:00,DOGE/EUR,0.20734,0.2422,0.18916,0.22486,502526642.8,111205058.741278
1619308800000,2021-04-25 00:00:00,DOGE/EUR,0.22475,0.24029,0.18604,0.20889,316047726.8,68203621.366022
1619395200000,2021-04-26 00:00:00,DOGE/EUR,0.20859,0.23296,0.2051,0.22522,251333561.9,55554408.833576
1619481600000,2021-04-27 00:00:00,DOGE/EUR,0.22535,0.23266,0.21944,0.22558,151689320.1,34304552.418355
1619568000000,2021-04-28 00:00:00,DOGE/EUR,0.22579,0.28767,0.21259,0.267,515984069.6,131752429.135057
1619654400000,2021-04-29 00:00:00,DOGE/EUR,0.26686,0.26816,0.245,0.25198,149289391.5,38200953.021357
1619740800000,2021-04-30 00:00:00,DOGE/EUR,0.25209,0.283,0.25,0.28066,175975742.5,47056168.359175
1619827200000,2021-05-01 00:00:00,DOGE/EUR,0.28079,0.33,0.27283,0.32479,307983603.2,93221293.772085
1619913600000,2021-05-02 00:00:00,DOGE/EUR,0.32491,0.33245,0.30213,0.31183,214349584.1,68228347.650192
1620000000000,2021-05-03 00:00:00,DOGE/EUR,0.31194,0.3724,0.31139,0.36656,316900418.6,108531633.385599
1620086400000,2021-05-04 00:00:00,DOGE/EUR,0.36675,0.51,0.33084,0.44955,927564743.9,397966403.55873
1620172800000,2021-05-05 00:00:00,DOGE/EUR,0.44917,0.5815,0.43036,0.54424,845458758.7,446180966.055091
1620259200000,2021-05-06 00:00:00,DOGE/EUR,0.5444,0.55336,0.45,0.48229,437527373.7,218713745.273222
1620345600000,2021-05-07 00:00:00,DOGE/EUR,0.4825,0.60454,0.429,0.56899,561941041.3,292530703.614887
1620432000000,2021-05-08 00:00:00,DOGE/EUR,0.569,0.6099,0.495,0.52443,544243472.2,305923103.709701
1620518400000,2021-05-09 00:00:00,DOGE/EUR,0.52506,0.57886,0.34403,0.47,1239142448.8,537819055.5902929
1620604800000,2021-05-10 00:00:00,DOGE/EUR,0.47,0.47134,0.34619,0.37328,472953151.6,195262642.612208
1620691200000,2021-05-11 00:00:00,DOGE/EUR,0.37332,0.45276,0.3673,0.40794,358687141.4,147598268.895192
1620777600000,2021-05-12 00:00:00,DOGE/EUR,0.40775,0.4303,0.31879,0.32594,254100839.6,98503386.381515
1620864000000,2021-05-13 00:00:00,DOGE/EUR,0.32541,0.43375,0.285,0.40604,509879099.8,177921220.73684
1620950400000,2021-05-14 00:00:00,DOGE/EUR,0.40681,0.48797,0.38601,0.46246,537157166.2,238547676.645122
1621036800000,2021-05-15 00:00:00,DOGE/EUR,0.46228,0.46567,0.40448,0.42007,242662973.9,104094835.427686
1621123200000,2021-05-16 00:00:00,DOGE/EUR,0.41987,0.4528,0.361,0.42349,254095285.1,107392738.843116
1621209600000,2021-05-17 00:00:00,DOGE/EUR,0.424,0.42591,0.37573,0.40173,215042839.1,86701808.57728
1621296000000,2021-05-18 00:00:00,DOGE/EUR,0.4016,0.42254,0.38551,0.39113,138550102.3,55442403.834863
1621382400000,2021-05-19 00:00:00,DOGE/EUR,0.39091,0.39374,0.17116,0.27224,575531259.5,172378092.679474
1621468800000,2021-05-20 00:00:00,DOGE/EUR,0.27299,0.36156,0.24442,0.32735,478008074.1,149044448.01752
1621555200000,2021-05-21 00:00:00,DOGE/EUR,0.32676,0.33799,0.258,0.2952,331287834.6,99243089.471217
1621641600000,2021-05-22 00:00:00,DOGE/EUR,0.29501,0.3,0.26173,0.28207,220194082.8,62144529.334617
1621728000000,2021-05-23 00:00:00,DOGE/EUR,0.28205,0.2892,0.2045,0.2523,375670941.5,92351883.345446
1621814400000,2021-05-24 00:00:00,DOGE/EUR,0.2523,0.30836,0.2434,0.30119,300131099.3,81917341.649826
1621900800000,2021-05-25 00:00:00,DOGE/EUR,0.30073,0.31236,0.26355,0.28305,205114027.1,58133956.515081
1621987200000,2021-05-26 00:00:00,DOGE/EUR,0.28333,0.30018,0.27614,0.29027,126402606.0,36315180.501824
1622073600000,2021-05-27 00:00:00,DOGE/EUR,0.29049,0.29049,0.26951,0.274,86818931.9,24097653.803378
1622160000000,2021-05-28 00:00:00,DOGE/EUR,0.27403,0.28568,0.2475,0.2564,144753911.8,37794750.050085
1622246400000,2021-05-29 00:00:00,DOGE/EUR,0.25624,0.2615,0.23079,0.24954,90580441.2,22268157.968685
