https://www.Saxcoin-b6.nl,DOT,Polkadot
unix,date,symbol,open,high,low,close,volume,total
1604016000000,2020-10-30 00:00:00,DOT/EUR,5.27,5.27,3.45,3.527,4270.353,15020.854811
1604102400000,2020-10-31 00:00:00,DOT/EUR,3.493,3.694,3.493,3.609,4081.497,14813.352473
1604188800000,2020-11-01 00:00:00,DOT/EUR,3.595,3.633,3.546,3.63,2220.461,7960.533725
1604275200000,2020-11-02 00:00:00,DOT/EUR,3.641,3.668,3.423,3.476,14574.657,51129.142938
1604361600000,2020-11-03 00:00:00,DOT/EUR,3.473,3.494,3.35,3.43,17126.773,58221.120183
1604448000000,2020-11-04 00:00:00,DOT/EUR,3.439,3.548,3.337,3.498,16333.37,56230.12557
1604534400000,2020-11-05 00:00:00,DOT/EUR,3.497,3.645,3.4,3.584,13446.696,47405.624299
1604620800000,2020-11-06 00:00:00,DOT/EUR,3.567,3.906,3.556,3.906,20799.279,78601.762326
1604707200000,2020-11-07 00:00:00,DOT/EUR,3.878,4.076,3.414,3.558,16197.429,59625.13136
1604793600000,2020-11-08 00:00:00,DOT/EUR,3.546,3.726,3.48,3.677,6620.577,24211.468456
1604880000000,2020-11-09 00:00:00,DOT/EUR,3.648,3.76,3.578,3.666,12961.919,47763.744187
1604966400000,2020-11-10 00:00:00,DOT/EUR,3.653,3.833,3.643,3.753,10857.134,40593.403938
1605052800000,2020-11-11 00:00:00,DOT/EUR,3.78,3.932,3.769,3.801,15152.84,57944.338069
1605139200000,2020-11-12 00:00:00,DOT/EUR,3.78,3.808,3.67,3.731,19037.066,70873.939195
1605225600000,2020-11-13 00:00:00,DOT/EUR,3.72,3.895,3.72,3.857,12607.423,48005.856975
1605312000000,2020-11-14 00:00:00,DOT/EUR,3.824,3.856,3.7,3.795,8533.117,32060.610312
1605398400000,2020-11-15 00:00:00,DOT/EUR,3.79,3.806,3.66,3.712,7953.567,29804.148031
1605484800000,2020-11-16 00:00:00,DOT/EUR,3.7,3.884,3.681,3.8,23752.405,89732.295825
1605571200000,2020-11-17 00:00:00,DOT/EUR,3.808,4.168,3.808,4.105,43730.827,177559.86625
1605657600000,2020-11-18 00:00:00,DOT/EUR,4.105,4.162,3.8,3.966,48027.38,190188.123829
1605744000000,2020-11-19 00:00:00,DOT/EUR,3.975,4.109,3.858,4.008,26373.307,105223.149718
1605830400000,2020-11-20 00:00:00,DOT/EUR,4.023,4.617,4.016,4.422,59129.484,264051.669278
1605916800000,2020-11-21 00:00:00,DOT/EUR,4.422,4.912,4.343,4.865,40781.425,189796.151353
1606003200000,2020-11-22 00:00:00,DOT/EUR,4.882,4.92,4.371,4.662,49289.804,229835.824981
1606089600000,2020-11-23 00:00:00,DOT/EUR,4.697,5.044,4.577,4.996,66902.112,324573.118459
1606176000000,2020-11-24 00:00:00,DOT/EUR,5.001,5.154,4.762,4.84,70541.513,346471.728588
1606262400000,2020-11-25 00:00:00,DOT/EUR,4.871,4.91,4.343,4.473,41897.962,194282.384796
1606348800000,2020-11-26 00:00:00,DOT/EUR,4.45,4.52,3.751,4.054,105620.923,423266.509458
1606435200000,2020-11-27 00:00:00,DOT/EUR,4.053,4.268,3.792,4.034,31093.391,125057.663152
1606521600000,2020-11-28 00:00:00,DOT/EUR,4.037,4.16,3.926,4.105,22852.691,93115.578336
1606608000000,2020-11-29 00:00:00,DOT/EUR,4.114,4.399,4.046,4.344,20665.866,87107.322858
1606694400000,2020-11-30 00:00:00,DOT/EUR,4.371,4.563,4.313,4.503,35529.164,158146.827486
1606780800000,2020-12-01 00:00:00,DOT/EUR,4.48,4.643,4.177,4.227,80461.316,360518.620325
1606867200000,2020-12-02 00:00:00,DOT/EUR,4.225,4.6,4.17,4.5,35113.653,155308.638864
1606953600000,2020-12-03 00:00:00,DOT/EUR,4.524,4.613,4.416,4.465,22458.625,101093.030235
1607040000000,2020-12-04 00:00:00,DOT/EUR,4.459,4.487,4.106,4.15,34442.151,147850.01165
1607126400000,2020-12-05 00:00:00,DOT/EUR,4.14,4.295,4.041,4.295,16637.19,69770.461005
1607212800000,2020-12-06 00:00:00,DOT/EUR,4.296,4.3,4.145,4.218,10858.398,45664.621432
1607299200000,2020-12-07 00:00:00,DOT/EUR,4.235,4.263,4.153,4.17,15226.629,64013.739343
1607385600000,2020-12-08 00:00:00,DOT/EUR,4.176,4.198,3.9,3.935,32992.835,132844.933631
1607472000000,2020-12-09 00:00:00,DOT/EUR,3.929,4.14,3.82,4.051,45213.652,180005.770506
1607558400000,2020-12-10 00:00:00,DOT/EUR,4.043,4.057,3.917,3.962,13790.792,54940.306505
1607644800000,2020-12-11 00:00:00,DOT/EUR,3.961,3.961,3.757,3.81,17013.598,65257.039748
1607731200000,2020-12-12 00:00:00,DOT/EUR,3.81,3.968,3.81,3.918,8928.596,34918.897758
1607817600000,2020-12-13 00:00:00,DOT/EUR,3.927,4.118,3.915,4.028,12351.108,50005.817798
1607904000000,2020-12-14 00:00:00,DOT/EUR,4.042,4.126,3.976,4.047,16272.713,65551.152686
1607990400000,2020-12-15 00:00:00,DOT/EUR,4.05,4.367,3.992,4.321,30357.369,128311.203176
1608076800000,2020-12-16 00:00:00,DOT/EUR,4.33,4.419,4.186,4.419,40670.066,175561.793697
