https://www.Saxcoin-b6.nl,FET,Fetch.ai
unix,date,symbol,open,high,low,close,volume,total
1648425600,2022-03-28 00:00:00,FET/EUR,0.40678,0.42200,0.39500,0.39500,169613.10700158,66997.17726562411
1648512000,2022-03-29 00:00:00,FET/EUR,0.40010,0.44700,0.40010,0.42046,191989.57460804,80723.9365396965
1648598400,2022-03-30 00:00:00,FET/EUR,0.42353,0.43089,0.40800,0.42500,75482.37057814,32080.007495709502
1648684800,2022-03-31 00:00:00,FET/EUR,0.42581,0.43300,0.39905,0.41256,161357.22231834,66569.53563965435
1648771200,2022-04-01 00:00:00,FET/EUR,0.41667,0.44185,0.39093,0.43145,130179.25173943,56165.838162977074
1648857600,2022-04-02 00:00:00,FET/EUR,0.43866,0.44103,0.41953,0.41953,62418.62374287,26186.48521884625
1648944000,2022-04-03 00:00:00,FET/EUR,0.42798,0.42915,0.41838,0.42812,40527.96384132,17350.831879745918
1649030400,2022-04-04 00:00:00,FET/EUR,0.42314,0.43966,0.41131,0.43966,151116.02753964,66439.67266807811
1649116800,2022-04-05 00:00:00,FET/EUR,0.43656,0.49024,0.43656,0.46916,224882.11358133,105505.69240781678
1649203200,2022-04-06 00:00:00,FET/EUR,0.46747,0.46747,0.40650,0.40868,165432.97973401,67609.1501576952
1649289600,2022-04-07 00:00:00,FET/EUR,0.40578,0.42625,0.39817,0.41584,110025.85213670,45753.15035252533
1649376000,2022-04-08 00:00:00,FET/EUR,0.41059,0.42732,0.37734,0.37925,169662.22668823,64344.39947151123
1649462400,2022-04-09 00:00:00,FET/EUR,0.37718,0.38113,0.36200,0.36586,26598.31805596,9731.260643953527
1649548800,2022-04-10 00:00:00,FET/EUR,0.37340,0.37340,0.34500,0.34500,62546.18083261,21578.43238725045
1649635200,2022-04-11 00:00:00,FET/EUR,0.34621,0.34621,0.31000,0.31000,123248.51783397,38207.0405285307
1649721600,2022-04-12 00:00:00,FET/EUR,0.30993,0.33508,0.30703,0.31794,110166.26801951,35026.263254123005
1649808000,2022-04-13 00:00:00,FET/EUR,0.31599,0.33865,0.31599,0.32326,63889.92033450,20653.055647330468
1649894400,2022-04-14 00:00:00,FET/EUR,0.32222,0.32581,0.30499,0.30750,168570.00465766,51835.27643223045
1649980800,2022-04-15 00:00:00,FET/EUR,0.30652,0.31432,0.30467,0.30942,67882.20888385,21004.113072840868
1650067200,2022-04-16 00:00:00,FET/EUR,0.30898,0.31325,0.30562,0.31325,71198.93492840,22303.066366321298
1650153600,2022-04-17 00:00:00,FET/EUR,0.30864,0.32450,0.29765,0.32450,108294.42426940,35141.5406754203
1650240000,2022-04-18 00:00:00,FET/EUR,0.30522,0.32065,0.28827,0.31846,164448.83460203,52370.375867362476
1650326400,2022-04-19 00:00:00,FET/EUR,0.31839,0.32636,0.31358,0.32302,89181.61576193,28807.445523418628
1650412800,2022-04-20 00:00:00,FET/EUR,0.31989,0.32536,0.30703,0.31230,126846.19507372,39614.06672152276
1650499200,2022-04-21 00:00:00,FET/EUR,0.31029,0.31844,0.29949,0.29949,68085.26956738,20390.857382734637
1650585600,2022-04-22 00:00:00,FET/EUR,0.30065,0.30565,0.29471,0.29969,37670.23475550,11289.392653875795
1650672000,2022-04-23 00:00:00,FET/EUR,0.29720,0.30879,0.29540,0.30070,42668.95281689,12830.554112038824
1650758400,2022-04-24 00:00:00,FET/EUR,0.29865,0.33097,0.29865,0.31710,84105.36585759,26669.81151344179
1650844800,2022-04-25 00:00:00,FET/EUR,0.32094,0.32531,0.30201,0.31359,170102.64695102,53342.48905737036
1650931200,2022-04-26 00:00:00,FET/EUR,0.31714,0.31842,0.28811,0.28828,57699.77083787,16633.68993714116
1651017600,2022-04-27 00:00:00,FET/EUR,0.28391,0.31563,0.28391,0.29720,128796.38312136,38278.2850636682
1651104000,2022-04-28 00:00:00,FET/EUR,0.29602,0.30440,0.28840,0.29449,65989.29563887,19433.187672690823
1651190400,2022-04-29 00:00:00,FET/EUR,0.28897,0.28897,0.26722,0.27026,69377.60584647,18749.991756066982
1651276800,2022-04-30 00:00:00,FET/EUR,0.26786,0.26786,0.24694,0.24694,23789.58915739,5874.601146525886
