https://www.Saxcoin-b6.nl,FTM,Fantom
unix,date,symbol,open,high,low,close,volume,total
1648425600,2022-03-28 00:00:00,FTM/EUR,1.31000,1.50000,1.29000,1.29000,49715.80692804,64133.3909371716
1648512000,2022-03-29 00:00:00,FTM/EUR,1.27735,1.32470,1.25000,1.25000,53047.84487012,66309.80608765001
1648598400,2022-03-30 00:00:00,FTM/EUR,1.26000,1.30004,1.23511,1.25656,29247.11742487,36750.75787139464
1648684800,2022-03-31 00:00:00,FTM/EUR,1.29414,1.36500,1.26443,1.28953,145692.92597783,187875.3988361911
1648771200,2022-04-01 00:00:00,FTM/EUR,1.32232,1.45128,1.29432,1.42222,68578.01602206,97533.02594689417
1648857600,2022-04-02 00:00:00,FTM/EUR,1.43147,1.52441,1.41025,1.41025,39478.77811978,55674.94684341975
1648944000,2022-04-03 00:00:00,FTM/EUR,1.38343,1.48934,1.38343,1.46432,58245.82284401,85290.52330694073
1649030400,2022-04-04 00:00:00,FTM/EUR,1.45829,1.45829,1.36253,1.42888,69330.90461259,99065.5429828376
1649116800,2022-04-05 00:00:00,FTM/EUR,1.42999,1.44000,1.34492,1.34492,44712.03714005,60134.11299039604
1649203200,2022-04-06 00:00:00,FTM/EUR,1.31000,1.33221,1.19430,1.20000,73412.54095174,88095.049142088
1649289600,2022-04-07 00:00:00,FTM/EUR,1.20121,1.24000,1.18000,1.22582,15704.36707726,19250.72725064685
1649376000,2022-04-08 00:00:00,FTM/EUR,1.23560,1.26172,1.14019,1.14019,14171.28325895,16157.9554590222
1649462400,2022-04-09 00:00:00,FTM/EUR,1.15700,1.17758,1.15010,1.16321,6780.89406138,7887.60378113783
1649548800,2022-04-10 00:00:00,FTM/EUR,1.19762,1.20963,1.15496,1.16126,39978.64292747,46425.59888595381
1649635200,2022-04-11 00:00:00,FTM/EUR,1.15000,1.15000,1.02000,1.02854,41344.26576114,42524.231105962936
1649721600,2022-04-12 00:00:00,FTM/EUR,1.02409,1.08750,1.02409,1.07283,39251.44191786,42110.12443273774
1649808000,2022-04-13 00:00:00,FTM/EUR,1.08302,1.10531,1.07627,1.10385,13663.09306393,15082.005278619132
1649894400,2022-04-14 00:00:00,FTM/EUR,1.09387,1.12055,1.06189,1.06973,16152.07895512,17278.363420660517
1649980800,2022-04-15 00:00:00,FTM/EUR,1.07514,1.08758,1.07514,1.08686,3105.34807118,3375.0786046426942
1650067200,2022-04-16 00:00:00,FTM/EUR,1.08333,1.08353,1.05935,1.07507,2053.61579449,2207.7807321823643
1650153600,2022-04-17 00:00:00,FTM/EUR,1.05882,1.06675,1.02625,1.02625,2795.97645562,2869.370837580025
1650240000,2022-04-18 00:00:00,FTM/EUR,1.02976,1.05279,0.98776,1.05051,26163.53954821,27485.05993079009
1650326400,2022-04-19 00:00:00,FTM/EUR,1.05634,1.10248,1.04964,1.09102,21009.99376308,22922.323395395546
1650412800,2022-04-20 00:00:00,FTM/EUR,1.08100,1.13000,1.07730,1.09059,36649.52788150,39969.60861228508
1650499200,2022-04-21 00:00:00,FTM/EUR,1.08995,1.10671,1.00048,1.04209,39076.68709120,40721.42485086861
1650585600,2022-04-22 00:00:00,FTM/EUR,1.02571,1.09237,1.02491,1.02891,45601.84299025,46920.19227109812
1650672000,2022-04-23 00:00:00,FTM/EUR,1.02451,1.03382,1.00650,1.01074,6576.77536319,6647.40993059066
1650758400,2022-04-24 00:00:00,FTM/EUR,1.01874,1.02002,0.99254,1.00619,19338.45498144,19458.160017775113
1650844800,2022-04-25 00:00:00,FTM/EUR,0.98530,1.00000,0.91693,1.00000,24237.02426283,24237.02426283
1650931200,2022-04-26 00:00:00,FTM/EUR,0.99573,1.00581,0.90220,0.90220,71514.70553022,64520.56732936449
1651017600,2022-04-27 00:00:00,FTM/EUR,0.93750,0.95413,0.92834,0.92834,9073.59514014,8423.381312397569
1651104000,2022-04-28 00:00:00,FTM/EUR,0.94409,0.96623,0.92466,0.93198,18411.84590065,17159.47214248779
1651190400,2022-04-29 00:00:00,FTM/EUR,0.90500,0.91527,0.76701,0.79734,109353.14326480,87191.63525075564
1651276800,2022-04-30 00:00:00,FTM/EUR,0.79380,0.80060,0.62000,0.65140,182847.94951288,119107.15431269004
1651363200,2022-05-01 00:00:00,FTM/EUR,0.65631,0.73620,0.62556,0.73620,110965.07756384,81692.490102499
1651449600,2022-05-02 00:00:00,FTM/EUR,0.74974,0.76334,0.69286,0.73464,65185.81359603,47888.10610018748
1651536000,2022-05-03 00:00:00,FTM/EUR,0.72638,0.76655,0.71020,0.72320,80511.89096702,58226.19954734886
1651622400,2022-05-04 00:00:00,FTM/EUR,0.73066,0.80827,0.72289,0.80827,82259.77819712,66488.1109233862
1651708800,2022-05-05 00:00:00,FTM/EUR,0.81045,0.82467,0.68310,0.70547,170016.99338573,119941.88832383095
