https://www.Saxcoin-b6.nl,HOT,Holo
unix,date,symbol,open,high,low,close,volume,total
1617926400000,2021-04-09 00:00:00,HOT/EUR,0.01931,0.02061,0.01714,0.01766,25609439.0,473212.515424
1618012800000,2021-04-10 00:00:00,HOT/EUR,0.01766,0.01813,0.01478,0.01609,101490048.7,1669983.15211
1618099200000,2021-04-11 00:00:00,HOT/EUR,0.01614,0.01894,0.01447,0.01661,124913037.3,2057836.429382
1618185600000,2021-04-12 00:00:00,HOT/EUR,0.01656,0.01847,0.0157,0.01572,83008448.1,1393527.257773
1618272000000,2021-04-13 00:00:00,HOT/EUR,0.01574,0.01664,0.01533,0.0157,82537771.7,1306570.772849
1618358400000,2021-04-14 00:00:00,HOT/EUR,0.01574,0.01585,0.01361,0.01475,107543544.3,1605439.812434
1618444800000,2021-04-15 00:00:00,HOT/EUR,0.01476,0.01792,0.0144,0.01557,173627985.7,2868769.558908
1618531200000,2021-04-16 00:00:00,HOT/EUR,0.01555,0.01732,0.01417,0.01595,175234359.7,2730410.566568
1618617600000,2021-04-17 00:00:00,HOT/EUR,0.0159,0.01814,0.01564,0.01589,144891363.6,2410568.249216
1618704000000,2021-04-18 00:00:00,HOT/EUR,0.01596,0.01601,0.011,0.01429,113710713.9,1615783.589641
1618790400000,2021-04-19 00:00:00,HOT/EUR,0.01434,0.0156,0.013,0.01317,87678806.5,1242281.213805
1618876800000,2021-04-20 00:00:00,HOT/EUR,0.01321,0.01556,0.01161,0.01338,112285221.8,1496991.104784
1618963200000,2021-04-21 00:00:00,HOT/EUR,0.01338,0.01424,0.01225,0.01241,60143376.7,801557.059021
1619049600000,2021-04-22 00:00:00,HOT/EUR,0.01242,0.01286,0.00964,0.01064,118057019.6,1370576.264424
1619136000000,2021-04-23 00:00:00,HOT/EUR,0.01063,0.0115,0.00745,0.01052,300155575.6,2868609.763826
1619222400000,2021-04-24 00:00:00,HOT/EUR,0.01051,0.01284,0.00975,0.01006,138188326.9,1544539.439481
1619308800000,2021-04-25 00:00:00,HOT/EUR,0.0101,0.01096,0.00875,0.00971,78833519.1,789151.79596
1619395200000,2021-04-26 00:00:00,HOT/EUR,0.00978,0.01193,0.00966,0.01164,138859936.9,1536441.279203
1619481600000,2021-04-27 00:00:00,HOT/EUR,0.01164,0.01467,0.01123,0.01364,222272117.4,3010113.483267
1619568000000,2021-04-28 00:00:00,HOT/EUR,0.01366,0.01438,0.01184,0.01306,149617966.3,1954830.905675
1619654400000,2021-04-29 00:00:00,HOT/EUR,0.01306,0.01355,0.01225,0.01274,73246608.8,945940.208589
1619740800000,2021-04-30 00:00:00,HOT/EUR,0.01273,0.01354,0.01247,0.01342,85091161.6,1113808.840361
1619827200000,2021-05-01 00:00:00,HOT/EUR,0.01338,0.0141,0.01301,0.01347,68464336.8,926506.671856
1619913600000,2021-05-02 00:00:00,HOT/EUR,0.01347,0.0135,0.01247,0.01291,54028597.7,701764.65116
1620000000000,2021-05-03 00:00:00,HOT/EUR,0.01293,0.01355,0.01211,0.01266,62529953.4,814119.139516
1620086400000,2021-05-04 00:00:00,HOT/EUR,0.01269,0.01269,0.01094,0.0113,131823145.8,1555233.694861
1620172800000,2021-05-05 00:00:00,HOT/EUR,0.01127,0.01354,0.01117,0.0123,157262381.3,1962713.495664
1620259200000,2021-05-06 00:00:00,HOT/EUR,0.01231,0.01307,0.0119,0.01249,159043950.3,1979848.422691
1620345600000,2021-05-07 00:00:00,HOT/EUR,0.01247,0.01387,0.01207,0.01259,226865576.8,2925358.444477
1620432000000,2021-05-08 00:00:00,HOT/EUR,0.01259,0.01321,0.01207,0.01219,98946443.7,1240150.425386
1620518400000,2021-05-09 00:00:00,HOT/EUR,0.01219,0.01235,0.01136,0.01187,131289507.1,1556359.967187
1620604800000,2021-05-10 00:00:00,HOT/EUR,0.01186,0.01237,0.0093,0.01048,148612095.7,1660581.642123
1620691200000,2021-05-11 00:00:00,HOT/EUR,0.0105,0.01136,0.01008,0.01079,117451223.5,1255535.67382
1620777600000,2021-05-12 00:00:00,HOT/EUR,0.01079,0.01117,0.0088,0.0088,104100509.2,1059221.349021
1620864000000,2021-05-13 00:00:00,HOT/EUR,0.0088,0.0099,0.0083,0.00937,152677722.0,1396423.636171
1620950400000,2021-05-14 00:00:00,HOT/EUR,0.00936,0.01027,0.00921,0.0098,121857250.5,1191359.460637
1621036800000,2021-05-15 00:00:00,HOT/EUR,0.00978,0.00988,0.00886,0.00897,109818226.8,1016855.291129
1621123200000,2021-05-16 00:00:00,HOT/EUR,0.009,0.01068,0.00868,0.0096,245048343.2,2363805.264927
1621209600000,2021-05-17 00:00:00,HOT/EUR,0.0096,0.00992,0.00871,0.00904,160078582.3,1484387.775344
1621296000000,2021-05-18 00:00:00,HOT/EUR,0.00912,0.00954,0.00887,0.00906,117081846.7,1075978.347668
1621382400000,2021-05-19 00:00:00,HOT/EUR,0.00906,0.0092,0.004,0.00595,294696431.3,1942974.707479
1621468800000,2021-05-20 00:00:00,HOT/EUR,0.00608,0.008,0.00536,0.00701,251895914.4,1719877.8208
1621555200000,2021-05-21 00:00:00,HOT/EUR,0.00705,0.00744,0.00533,0.0063,186336111.6,1231610.828363
1621641600000,2021-05-22 00:00:00,HOT/EUR,0.00632,0.00638,0.00563,0.00584,101517198.0,606387.877482
1621728000000,2021-05-23 00:00:00,HOT/EUR,0.00583,0.00602,0.00412,0.00498,176305562.6,911333.908835
1621814400000,2021-05-24 00:00:00,HOT/EUR,0.005,0.0064,0.00487,0.00632,113100131.4,661181.164755
1621900800000,2021-05-25 00:00:00,HOT/EUR,0.0063,0.00851,0.00597,0.00766,564250169.7,4067940.034915
1621987200000,2021-05-26 00:00:00,HOT/EUR,0.00764,0.0095,0.00747,0.00884,637700058.3,5485929.406764
1622073600000,2021-05-27 00:00:00,HOT/EUR,0.0088,0.0088,0.00765,0.00782,274970752.3,2241570.976258
1622160000000,2021-05-28 00:00:00,HOT/EUR,0.00783,0.0082,0.00657,0.0069,316980647.4,2362055.049184
1622246400000,2021-05-29 00:00:00,HOT/EUR,0.00691,0.0074,0.00624,0.00674,302798144.8,2035767.326132
1622332800000,2021-05-30 00:00:00,HOT/EUR,0.00674,0.00762,0.0064,0.0071,653896934.9,4632480.914627
1622419200000,2021-05-31 00:00:00,HOT/EUR,0.0071,0.00758,0.00689,0.00735,537861850.8,3888822.754265
1622505600000,2021-06-01 00:00:00,HOT/EUR,0.00735,0.0075,0.0069,0.007,1026550805.8,7318903.403661
1622592000000,2021-06-02 00:00:00,HOT/EUR,0.00699,0.0074,0.00692,0.00717,713243832.1,5083270.231421
1622678400000,2021-06-03 00:00:00,HOT/EUR,0.00716,0.00806,0.00713,0.00765,3023890371.4,22800894.082844
1622764800000,2021-06-04 00:00:00,HOT/EUR,0.00765,0.00771,0.00663,0.00705,1580626630.0,11111788.766107
1622851200000,2021-06-05 00:00:00,HOT/EUR,0.00706,0.00753,0.00665,0.00691,1033858474.3,7442814.154393
1622937600000,2021-06-06 00:00:00,HOT/EUR,0.00689,0.00714,0.00684,0.00707,598564322.5,4191478.890497
1623024000000,2021-06-07 00:00:00,HOT/EUR,0.00707,0.0072,0.00631,0.00641,1019393226.8,7151844.982173
1623110400000,2021-06-08 00:00:00,HOT/EUR,0.00642,0.00677,0.00576,0.00656,655332157.7,4178796.70088
1623196800000,2021-06-09 00:00:00,HOT/EUR,0.00653,0.00687,0.00624,0.00677,330715926.6,2198631.53535
1623283200000,2021-06-10 00:00:00,HOT/EUR,0.00678,0.00684,0.00637,0.00645,510689309.6,3373228.397027
1623369600000,2021-06-11 00:00:00,HOT/EUR,0.00645,0.00662,0.00611,0.00621,726762714.6,4671843.918335
1623456000000,2021-06-12 00:00:00,HOT/EUR,0.00616,0.00632,0.00592,0.00609,67695597.3,412370.282489
1623542400000,2021-06-13 00:00:00,HOT/EUR,0.00611,0.00718,0.00603,0.00677,758996475.6,4786980.749006
1623628800000,2021-06-14 00:00:00,HOT/EUR,0.00678,0.00699,0.00656,0.00685,559238114.0,3779977.552166
1623715200000,2021-06-15 00:00:00,HOT/EUR,0.00683,0.00703,0.00657,0.00666,294084061.9,1971253.822627
1623801600000,2021-06-16 00:00:00,HOT/EUR,0.00665,0.00668,0.00633,0.00647,724452689.5,4712675.917544
1623888000000,2021-06-17 00:00:00,HOT/EUR,0.00644,0.00668,0.00633,0.00646,1647680746.1,10647523.420253
1623974400000,2021-06-18 00:00:00,HOT/EUR,0.00645,0.00646,0.00585,0.00608,799526492.3,4972385.701775
1624060800000,2021-06-19 00:00:00,HOT/EUR,0.00608,0.00618,0.00589,0.00593,2201432318.4,13353302.150601
1624147200000,2021-06-20 00:00:00,HOT/EUR,0.00594,0.00643,0.00562,0.00625,891032299.4,5328105.738082
1624233600000,2021-06-21 00:00:00,HOT/EUR,0.00628,0.00628,0.00496,0.00501,881733831.1,4933633.605911
1624320000000,2021-06-22 00:00:00,HOT/EUR,0.00504,0.00531,0.00405,0.00456,1840360479.6,8900756.647013
1624406400000,2021-06-23 00:00:00,HOT/EUR,0.00457,0.0052,0.00436,0.00497,529801282.9,2604896.493187
1624492800000,2021-06-24 00:00:00,HOT/EUR,0.00497,0.00521,0.00478,0.0051,923598043.0,4642509.972031
1624579200000,2021-06-25 00:00:00,HOT/EUR,0.00512,0.00524,0.00455,0.00472,843363133.3,4242390.672776
1624665600000,2021-06-26 00:00:00,HOT/EUR,0.00466,0.00493,0.00447,0.00471,786493533.1,3664727.768034
1624752000000,2021-06-27 00:00:00,HOT/EUR,0.00475,0.00498,0.00465,0.00496,267683879.5,1294262.979749
1624838400000,2021-06-28 00:00:00,HOT/EUR,0.00495,0.00509,0.00487,0.005,808182608.5,4003895.62272
1624924800000,2021-06-29 00:00:00,HOT/EUR,0.00498,0.00555,0.00498,0.00523,540580880.9,2887679.01123
1625011200000,2021-06-30 00:00:00,HOT/EUR,0.00526,0.00532,0.00486,0.00517,870410888.1,4355936.015109
1625097600000,2021-07-01 00:00:00,HOT/EUR,0.00516,0.00519,0.00487,0.005,546502538.8,2763613.730834
1625184000000,2021-07-02 00:00:00,HOT/EUR,0.00495,0.00504,0.00482,0.00496,418862061.3,2055363.264597
1625270400000,2021-07-03 00:00:00,HOT/EUR,0.00497,0.00515,0.00495,0.00511,176235506.2,894589.436987
1625356800000,2021-07-04 00:00:00,HOT/EUR,0.00509,0.00535,0.005,0.00521,44700453.3,233910.414522
1625443200000,2021-07-05 00:00:00,HOT/EUR,0.00519,0.00519,0.00493,0.00503,490762952.5,2477389.58758
1625529600000,2021-07-06 00:00:00,HOT/EUR,0.00503,0.00523,0.00502,0.0051,1061651873.5,5429592.514249
1625616000000,2021-07-07 00:00:00,HOT/EUR,0.0051,0.00527,0.00506,0.00509,439106269.8,2262095.437968
1625702400000,2021-07-08 00:00:00,HOT/EUR,0.00509,0.0051,0.00479,0.00485,334774001.4,1640352.883316
1625788800000,2021-07-09 00:00:00,HOT/EUR,0.00484,0.00496,0.00463,0.0049,374690568.3,1790850.811258
1625875200000,2021-07-10 00:00:00,HOT/EUR,0.00489,0.00499,0.0047,0.00481,204551189.2,979003.339792
1625961600000,2021-07-11 00:00:00,HOT/EUR,0.00481,0.00493,0.00475,0.00486,296807207.9,1432288.710904
1626048000000,2021-07-12 00:00:00,HOT/EUR,0.00486,0.00491,0.00465,0.00475,166671341.3,807178.648831
1626134400000,2021-07-13 00:00:00,HOT/EUR,0.00471,0.00479,0.00457,0.00467,472762532.3,2227635.828889
1626220800000,2021-07-14 00:00:00,HOT/EUR,0.00469,0.00475,0.00436,0.00469,92305686.3,422059.390184
1626307200000,2021-07-15 00:00:00,HOT/EUR,0.0047,0.00477,0.00443,0.00449,182800912.6,829967.519795
1626393600000,2021-07-16 00:00:00,HOT/EUR,0.0045,0.00463,0.00426,0.00428,126830632.6,556259.517583
1626480000000,2021-07-17 00:00:00,HOT/EUR,0.00425,0.00475,0.00423,0.00442,431522137.1,1883216.818378
1626566400000,2021-07-18 00:00:00,HOT/EUR,0.00441,0.00451,0.00432,0.00438,184995263.2,818028.820244
1626652800000,2021-07-19 00:00:00,HOT/EUR,0.00437,0.00439,0.00408,0.00414,1024493503.3,4341856.781715
1626739200000,2021-07-20 00:00:00,HOT/EUR,0.00412,0.00417,0.00375,0.00383,769838391.1,3014731.431349
1626825600000,2021-07-21 00:00:00,HOT/EUR,0.00384,0.00427,0.00374,0.00411,498691987.0,1975742.407883
1626912000000,2021-07-22 00:00:00,HOT/EUR,0.00409,0.00426,0.00404,0.00421,732579519.2,3045800.18741
