https://www.Saxcoin-b6.nl,MATIC,Polygon
unix,date,symbol,open,high,low,close,volume,total
1616112000000,2021-03-19 00:00:00,MATIC/EUR,0.3331,0.3757,0.3331,0.3456,2170091.72,747483.584129
1616198400000,2021-03-20 00:00:00,MATIC/EUR,0.3456,0.3526,0.3217,0.3233,1677640.2,572530.58292
1616284800000,2021-03-21 00:00:00,MATIC/EUR,0.3219,0.338,0.3072,0.3202,1775858.74,572029.303372
1616371200000,2021-03-22 00:00:00,MATIC/EUR,0.3215,0.3246,0.2636,0.2927,2383473.46,725681.78124
1616457600000,2021-03-23 00:00:00,MATIC/EUR,0.2924,0.32,0.275,0.2788,2372089.73,690137.631324
1616544000000,2021-03-24 00:00:00,MATIC/EUR,0.2783,0.3207,0.2566,0.2747,3426804.68,1014727.719045
1616630400000,2021-03-25 00:00:00,MATIC/EUR,0.2722,0.3,0.2524,0.2568,3421191.48,919605.46251
1616716800000,2021-03-26 00:00:00,MATIC/EUR,0.257,0.2912,0.257,0.2851,2151541.85,597976.085562
1616803200000,2021-03-27 00:00:00,MATIC/EUR,0.2866,0.3022,0.2815,0.2827,2504754.74,726353.930092
1616889600000,2021-03-28 00:00:00,MATIC/EUR,0.2816,0.3018,0.2784,0.2943,2308484.34,671477.407798
1616976000000,2021-03-29 00:00:00,MATIC/EUR,0.2943,0.36,0.2864,0.327,4811190.5,1560635.615431
1617062400000,2021-03-30 00:00:00,MATIC/EUR,0.327,0.3296,0.3072,0.3175,3199028.61,1015203.850711
1617148800000,2021-03-31 00:00:00,MATIC/EUR,0.3173,0.3257,0.285,0.3068,4102994.98,1256432.290396
1617235200000,2021-04-01 00:00:00,MATIC/EUR,0.3071,0.322,0.3,0.3095,2906601.35,905764.23563
1617321600000,2021-04-02 00:00:00,MATIC/EUR,0.3101,0.3366,0.3036,0.326,3078698.34,988132.569785
1617408000000,2021-04-03 00:00:00,MATIC/EUR,0.3266,0.3382,0.2991,0.3005,2606212.06,825245.918302
1617494400000,2021-04-04 00:00:00,MATIC/EUR,0.3,0.3187,0.2948,0.3078,1758998.1,544004.205459
1617580800000,2021-04-05 00:00:00,MATIC/EUR,0.309,0.3135,0.2974,0.3132,2137590.3,653085.181518
1617667200000,2021-04-06 00:00:00,MATIC/EUR,0.3132,0.3311,0.3051,0.3167,4092093.32,1302940.208891
1617753600000,2021-04-07 00:00:00,MATIC/EUR,0.3169,0.3177,0.252,0.2848,4262578.33,1236772.480451
1617840000000,2021-04-08 00:00:00,MATIC/EUR,0.286,0.3035,0.2844,0.2996,2582892.18,762709.792982
1617926400000,2021-04-09 00:00:00,MATIC/EUR,0.2995,0.3234,0.2946,0.3093,3035602.65,930182.856743
1618012800000,2021-04-10 00:00:00,MATIC/EUR,0.3093,0.3134,0.292,0.3,2153977.39,654896.726816
1618099200000,2021-04-11 00:00:00,MATIC/EUR,0.3,0.3106,0.2924,0.3105,1783951.16,540500.011793
1618185600000,2021-04-12 00:00:00,MATIC/EUR,0.3108,0.3129,0.2942,0.3,2117069.18,636496.050853
1618272000000,2021-04-13 00:00:00,MATIC/EUR,0.3014,0.3574,0.299,0.3539,7904598.84,2625831.519676
1618358400000,2021-04-14 00:00:00,MATIC/EUR,0.354,0.3763,0.3105,0.3467,5374999.2,1837555.41758
1618444800000,2021-04-15 00:00:00,MATIC/EUR,0.3468,0.3848,0.3358,0.3682,5712492.7,2061410.336846
1618531200000,2021-04-16 00:00:00,MATIC/EUR,0.371,0.3916,0.3406,0.3643,4169312.88,1496014.105092
1618617600000,2021-04-17 00:00:00,MATIC/EUR,0.365,0.3673,0.3371,0.3403,2361796.26,832741.299513
1618704000000,2021-04-18 00:00:00,MATIC/EUR,0.3397,0.3421,0.27,0.3058,4836318.37,1438693.072098
1618790400000,2021-04-19 00:00:00,MATIC/EUR,0.3065,0.3244,0.2706,0.2725,3210453.8,959349.62819
1618876800000,2021-04-20 00:00:00,MATIC/EUR,0.2734,0.2925,0.2472,0.2855,3870490.35,1056063.538571
1618963200000,2021-04-21 00:00:00,MATIC/EUR,0.2857,0.319,0.274,0.2971,4599421.62,1361531.325043
1619049600000,2021-04-22 00:00:00,MATIC/EUR,0.2989,0.3509,0.287,0.2917,13108756.81,4314300.470689
1619136000000,2021-04-23 00:00:00,MATIC/EUR,0.291,0.3214,0.248,0.3171,7935457.98,2232579.15805
1619222400000,2021-04-24 00:00:00,MATIC/EUR,0.3173,0.3237,0.2816,0.2957,3423716.7,1032525.532576
1619308800000,2021-04-25 00:00:00,MATIC/EUR,0.2958,0.3368,0.2863,0.318,4461501.25,1411810.48249
1619395200000,2021-04-26 00:00:00,MATIC/EUR,0.3193,0.4894,0.3146,0.445,23941574.91,9994811.268745
1619481600000,2021-04-27 00:00:00,MATIC/EUR,0.4455,0.7178,0.3911,0.685,25976493.36,14193166.021086
1619568000000,2021-04-28 00:00:00,MATIC/EUR,0.685,0.7446,0.5581,0.6413,53478482.86,34583011.997993
1619654400000,2021-04-29 00:00:00,MATIC/EUR,0.6414,0.7667,0.6131,0.7375,40359318.97,28299553.376354
1619740800000,2021-04-30 00:00:00,MATIC/EUR,0.7368,0.7829,0.65,0.6829,23820132.7,16993989.966488
1619827200000,2021-05-01 00:00:00,MATIC/EUR,0.6829,0.7,0.6391,0.653,11676590.55,7814988.341731
1619913600000,2021-05-02 00:00:00,MATIC/EUR,0.6529,0.6897,0.6175,0.6862,7951551.28,5238257.803003
1620000000000,2021-05-03 00:00:00,MATIC/EUR,0.684,0.7245,0.6452,0.6608,9982708.13,6840330.634571
1620086400000,2021-05-04 00:00:00,MATIC/EUR,0.6604,0.6656,0.5723,0.5865,9825714.15,6112070.668462
1620172800000,2021-05-05 00:00:00,MATIC/EUR,0.5868,0.6952,0.5847,0.6742,10384940.37,6765188.252725
