https://www.Saxcoin-b6.nl,RUNE,THORChain
unix,date,symbol,open,high,low,close,volume,total
1624579200000,2021-06-25 00:00:00,RUNE/EUR,5.221,5.57,4.4,4.648,40436.3,186685.9962
1624665600000,2021-06-26 00:00:00,RUNE/EUR,4.784,5.198,4.208,4.496,10549.4,46573.5468
1624752000000,2021-06-27 00:00:00,RUNE/EUR,4.516,5.049,4.19,5.049,35874.3,165405.9269
1624838400000,2021-06-28 00:00:00,RUNE/EUR,5.125,5.655,4.989,5.274,92085.9,492881.6061
1624924800000,2021-06-29 00:00:00,RUNE/EUR,5.282,6.01,5.282,5.554,65479.7,371449.0721
1625011200000,2021-06-30 00:00:00,RUNE/EUR,5.554,5.771,5.193,5.748,58168.6,321595.6819
1625097600000,2021-07-01 00:00:00,RUNE/EUR,5.665,5.665,5.146,5.203,40205.6,212675.2211
1625184000000,2021-07-02 00:00:00,RUNE/EUR,5.198,5.354,4.695,4.881,62672.6,306005.293
1625270400000,2021-07-03 00:00:00,RUNE/EUR,4.858,5.305,4.765,5.023,40369.8,204275.4775
1625356800000,2021-07-04 00:00:00,RUNE/EUR,5.014,5.514,4.899,5.268,36235.7,192051.7361
1625443200000,2021-07-05 00:00:00,RUNE/EUR,5.228,5.273,4.9,5.162,37203.1,189418.1752
1625529600000,2021-07-06 00:00:00,RUNE/EUR,5.22,6.315,5.181,5.933,165568.3,980370.9341
1625616000000,2021-07-07 00:00:00,RUNE/EUR,5.916,6.5,5.885,6.005,107263.4,664510.5628
1625702400000,2021-07-08 00:00:00,RUNE/EUR,6.038,6.038,5.084,5.266,73971.5,411750.056
1625788800000,2021-07-09 00:00:00,RUNE/EUR,5.238,5.41,4.95,5.22,62300.1,323889.2549
1625875200000,2021-07-10 00:00:00,RUNE/EUR,5.256,5.514,4.987,5.16,45114.9,233371.298
1625961600000,2021-07-11 00:00:00,RUNE/EUR,5.238,5.342,5.035,5.277,24740.8,128729.5161
1626048000000,2021-07-12 00:00:00,RUNE/EUR,5.31,5.645,4.888,5.156,51645.8,270102.021
1626134400000,2021-07-13 00:00:00,RUNE/EUR,5.142,5.244,4.707,4.801,46223.9,228975.0834
