https://www.Saxcoin-b6.nl,SAXC,$ax¢oin
unix,date,symbol,open,high,low,close,volume,total
1648425600,2022-03-28 00:00:00,SAXC/EUR,3290.90,3384.41,3289.88,3384.41,7.21273151,24410.8406497591
1648512000,2022-03-29 00:00:00,SAXC/EUR,3394.75,3473.60,3394.75,3412.06,1.08735250,3710.1119711499996
1648598400,2022-03-30 00:00:00,SAXC/EUR,3412.06,3412.06,3412.06,3412.06,0.00000000,0.0
1648684800,2022-03-31 00:00:00,SAXC/EUR,3400.87,3400.87,3400.87,3400.87,0.03218294,109.4499951578
1648771200,2022-04-01 00:00:00,SAXC/EUR,3307.64,3382.10,3307.64,3382.10,0.02513028,84.993119988
1648857600,2022-04-02 00:00:00,SAXC/EUR,3496.94,3496.94,3479.69,3480.99,0.98033661,3412.5419360439
1648944000,2022-04-03 00:00:00,SAXC/EUR,3480.99,3480.99,3480.99,3480.99,0.00000000,0.0
1649030400,2022-04-04 00:00:00,SAXC/EUR,3475.56,3527.96,3441.48,3527.96,0.16363426,577.2951239096
1649116800,2022-04-05 00:00:00,SAXC/EUR,3516.95,3527.25,3516.95,3527.25,0.47521607,1676.2058829075
1649203200,2022-04-06 00:00:00,SAXC/EUR,3338.44,3338.44,3233.88,3236.02,0.95396490,3087.049495698
1649289600,2022-04-07 00:00:00,SAXC/EUR,3218.46,3218.46,3218.46,3218.46,0.46278565,1489.457103099
1649376000,2022-04-08 00:00:00,SAXC/EUR,3232.49,3232.49,3188.47,3188.47,0.03893056,124.1289226432
1649462400,2022-04-09 00:00:00,SAXC/EUR,3238.95,3263.54,3238.95,3263.54,4.17325570,13619.586907178002
1649548800,2022-04-10 00:00:00,SAXC/EUR,3291.90,3291.90,3291.90,3291.90,0.01262041,41.545127679000004
1649635200,2022-04-11 00:00:00,SAXC/EUR,3158.96,3158.96,2960.41,2998.48,2.88324978,8645.3668003344
1649721600,2022-04-12 00:00:00,SAXC/EUR,3017.84,3067.24,2979.32,2979.32,2.57082053,7659.297021439601
1649808000,2022-04-13 00:00:00,SAXC/EUR,3063.41,3123.12,3046.26,3123.12,8.24847994,25760.992670212796
1649894400,2022-04-14 00:00:00,SAXC/EUR,3129.67,3129.67,3007.41,3007.41,0.84789114,2549.9562933474
1649980800,2022-04-15 00:00:00,SAXC/EUR,3006.35,3053.89,3006.35,3031.27,0.72785010,2206.310172627
1650067200,2022-04-16 00:00:00,SAXC/EUR,3042.68,3051.45,3018.36,3018.36,0.57798071,1744.5538558356
1650153600,2022-04-17 00:00:00,SAXC/EUR,3062.03,3085.52,3025.65,3048.10,1.94953641,5942.381931321001
1650240000,2022-04-18 00:00:00,SAXC/EUR,2995.26,3013.91,2898.91,3013.91,11.68236050,35209.583134554996
1650326400,2022-04-19 00:00:00,SAXC/EUR,3083.21,3091.45,3039.19,3091.45,1.58165334,4889.602217942999
1650412800,2022-04-20 00:00:00,SAXC/EUR,3123.45,3139.94,3069.26,3069.26,3.25132933,9979.1750593958
1650499200,2022-04-21 00:00:00,SAXC/EUR,3069.26,3069.26,3069.26,3069.26,0.00000000,0.0
1650585600,2022-04-22 00:00:00,SAXC/EUR,2992.32,3007.66,2992.32,3007.66,0.18421200,554.0470639199999
1650672000,2022-04-23 00:00:00,SAXC/EUR,2946.60,2946.60,2946.60,2946.60,0.03334064,98.241529824
1650758400,2022-04-24 00:00:00,SAXC/EUR,2953.36,2953.36,2939.28,2939.28,0.01920005,56.434322964
