https://www.Saxcoin-b6.nl,SHIB,Shiba Inu
unix,date,symbol,open,high,low,close,volume,total
1621468800000,2021-05-20 00:00:00,SHIB/EUR,7.54e-06,1.01e-05,6.62e-06,8.02e-06,2833075774685.0,24377587.74776622
1621555200000,2021-05-21 00:00:00,SHIB/EUR,7.95e-06,8.49e-06,5.41e-06,6.78e-06,1963420027816.0,13533771.03697337
1621641600000,2021-05-22 00:00:00,SHIB/EUR,6.76e-06,8.1e-06,5.56e-06,6.97e-06,1318294206746.0,8654015.12539475
1621728000000,2021-05-23 00:00:00,SHIB/EUR,6.93e-06,7.95e-06,5.74e-06,6.66e-06,1298635744784.0,8573656.01274547
1621814400000,2021-05-24 00:00:00,SHIB/EUR,6.69e-06,9.9e-06,6.37e-06,8.75e-06,1862491074854.0,15154379.14960254
1621900800000,2021-05-25 00:00:00,SHIB/EUR,8.75e-06,9.17e-06,7.16e-06,7.68e-06,969340762206.0,7592833.91190265
1621987200000,2021-05-26 00:00:00,SHIB/EUR,7.68e-06,8.6e-06,7.51e-06,7.8e-06,872903411047.0,6945751.7357444
1622073600000,2021-05-27 00:00:00,SHIB/EUR,7.82e-06,7.82e-06,7e-06,7.21e-06,606589903512.0,4454773.8806932
1622160000000,2021-05-28 00:00:00,SHIB/EUR,7.22e-06,7.26e-06,6.17e-06,6.52e-06,683939185387.0,4507485.0501349
1622246400000,2021-05-29 00:00:00,SHIB/EUR,6.5e-06,6.76e-06,6.01e-06,6.52e-06,475850547427.0,3026373.38078611
1622332800000,2021-05-30 00:00:00,SHIB/EUR,6.53e-06,6.7e-06,6.2e-06,6.47e-06,379475935656.0,2457854.7062002
1622419200000,2021-05-31 00:00:00,SHIB/EUR,6.45e-06,8.17e-06,6.32e-06,7.59e-06,1034027149607.0,7381147.4157878
1622505600000,2021-06-01 00:00:00,SHIB/EUR,7.57e-06,7.73e-06,6.8e-06,7.24e-06,776369045439.0,5576515.97451717
1622592000000,2021-06-02 00:00:00,SHIB/EUR,7.24e-06,8.64e-06,7.02e-06,7.74e-06,1056905204497.0,8224178.77271608
1622678400000,2021-06-03 00:00:00,SHIB/EUR,7.74e-06,8.53e-06,7.62e-06,8.1e-06,830945179128.0,6726849.37365898
1622764800000,2021-06-04 00:00:00,SHIB/EUR,8.1e-06,8.13e-06,6.85e-06,7.26e-06,877032121328.0,6369639.87621351
1622851200000,2021-06-05 00:00:00,SHIB/EUR,7.25e-06,7.53e-06,6.69e-06,6.97e-06,526243986880.0,3750607.973456
1622937600000,2021-06-06 00:00:00,SHIB/EUR,6.95e-06,7.13e-06,6.88e-06,7.04e-06,290184033893.0,2024675.2714926
1623024000000,2021-06-07 00:00:00,SHIB/EUR,7.04e-06,7.17e-06,6.14e-06,6.37e-06,513416671873.0,3456673.46499901
1623110400000,2021-06-08 00:00:00,SHIB/EUR,6.36e-06,6.48e-06,5.17e-06,5.9e-06,1191636950314.0,7017667.60336518
1623196800000,2021-06-09 00:00:00,SHIB/EUR,5.89e-06,6.25e-06,5.63e-06,6.08e-06,627028070754.0,3733350.30636556
1623283200000,2021-06-10 00:00:00,SHIB/EUR,6.07e-06,6.1e-06,5.58e-06,5.63e-06,462370575779.0,2680046.00712891
1623369600000,2021-06-11 00:00:00,SHIB/EUR,5.63e-06,5.67e-06,4.97e-06,5.14e-06,569871343786.0,3084245.83025599
1623456000000,2021-06-12 00:00:00,SHIB/EUR,5.14e-06,5.42e-06,4.57e-06,5.2e-06,1157877348013.0,5765106.82375462
1623542400000,2021-06-13 00:00:00,SHIB/EUR,5.2e-06,5.9e-06,5.02e-06,5.66e-06,1052590779067.0,5683590.34381506
1623628800000,2021-06-14 00:00:00,SHIB/EUR,5.66e-06,5.95e-06,5.5e-06,5.86e-06,905547505855.0,5179179.91122396
1623715200000,2021-06-15 00:00:00,SHIB/EUR,5.86e-06,8.15e-06,5.73e-06,7.46e-06,2375322174565.0,16941538.33507481
1623801600000,2021-06-16 00:00:00,SHIB/EUR,7.46e-06,7.7e-06,6.79e-06,6.94e-06,3161417602978.0,22838847.40838831
1623888000000,2021-06-17 00:00:00,SHIB/EUR,6.94e-06,7.08e-06,6.46e-06,6.69e-06,1950826770564.0,13229579.16224334
1623974400000,2021-06-18 00:00:00,SHIB/EUR,6.68e-06,6.7e-06,5.9e-06,6.14e-06,1132858634206.0,7094401.02260775
1624060800000,2021-06-19 00:00:00,SHIB/EUR,6.13e-06,7.16e-06,6.08e-06,6.44e-06,1865867546941.0,12314132.20908226
1624147200000,2021-06-20 00:00:00,SHIB/EUR,6.44e-06,6.82e-06,6.01e-06,6.57e-06,1295360273503.0,8381582.09762551
1624233600000,2021-06-21 00:00:00,SHIB/EUR,6.56e-06,6.6e-06,5.11e-06,5.2e-06,1511835011221.0,8878471.06760863
1624320000000,2021-06-22 00:00:00,SHIB/EUR,5.2e-06,5.88e-06,4.68e-06,5.31e-06,1774927453014.0,9406993.55996805
1624406400000,2021-06-23 00:00:00,SHIB/EUR,5.3e-06,5.97e-06,5.12e-06,5.73e-06,887931738745.0,5043336.43639842
1624492800000,2021-06-24 00:00:00,SHIB/EUR,5.73e-06,6.24e-06,5.51e-06,6.04e-06,872147685143.0,5143723.80022435
1624579200000,2021-06-25 00:00:00,SHIB/EUR,6.05e-06,7.25e-06,5.63e-06,5.94e-06,1511599530805.0,9309307.14557173
1624665600000,2021-06-26 00:00:00,SHIB/EUR,5.94e-06,6.39e-06,5.81e-06,6.29e-06,1017666488494.0,6202927.97478227
1624752000000,2021-06-27 00:00:00,SHIB/EUR,6.28e-06,6.6e-06,6.11e-06,6.57e-06,533820180909.0,3347021.97126874
1624838400000,2021-06-28 00:00:00,SHIB/EUR,6.59e-06,6.88e-06,6.36e-06,6.78e-06,1284195742608.0,8562767.25002615
1624924800000,2021-06-29 00:00:00,SHIB/EUR,6.78e-06,8.09e-06,6.74e-06,7.46e-06,2250597976333.0,17047517.53209585
1625011200000,2021-06-30 00:00:00,SHIB/EUR,7.45e-06,7.74e-06,6.76e-06,7.45e-06,1400765634015.0,10164032.38753482
1625097600000,2021-07-01 00:00:00,SHIB/EUR,7.45e-06,7.45e-06,6.88e-06,7.04e-06,733411231561.0,5185805.60364806
1625184000000,2021-07-02 00:00:00,SHIB/EUR,7.04e-06,7.13e-06,6.81e-06,7.05e-06,819367352266.0,5697597.2644922
1625270400000,2021-07-03 00:00:00,SHIB/EUR,7.04e-06,7.42e-06,6.89e-06,7.29e-06,1005083550792.0,7270923.01406286
1625356800000,2021-07-04 00:00:00,SHIB/EUR,7.29e-06,7.55e-06,7.11e-06,7.36e-06,731200906692.0,5381637.05282736
1625443200000,2021-07-05 00:00:00,SHIB/EUR,7.34e-06,7.34e-06,6.89e-06,7.03e-06,654438104311.0,4659747.0144991
1625529600000,2021-07-06 00:00:00,SHIB/EUR,7.01e-06,7.87e-06,7.01e-06,7.39e-06,1853321958750.0,13675834.50889908
1625616000000,2021-07-07 00:00:00,SHIB/EUR,7.39e-06,7.57e-06,7.24e-06,7.26e-06,345552281066.0,2547238.23094245
1625702400000,2021-07-08 00:00:00,SHIB/EUR,7.26e-06,7.28e-06,6.6e-06,6.77e-06,579011507203.0,3958539.60529701
