https://www.Saxcoin-b6.nl,SOL,Solana
unix,date,symbol,open,high,low,close,volume,total
1622332800000,2021-05-30 00:00:00,SOLEUR,22.54,25.0,21.15,23.56,42349.43,993821.4065
1622419200000,2021-05-31 00:00:00,SOLEUR,23.38,27.08,22.66,26.82,57077.0,1449064.0815
1622505600000,2021-06-01 00:00:00,SOLEUR,26.84,27.5,24.38,25.44,50564.89,1301374.309
1622592000000,2021-06-02 00:00:00,SOLEUR,25.44,28.8,24.9,27.81,55324.99,1501732.6151
1622678400000,2021-06-03 00:00:00,SOLEUR,27.79,34.21,27.66,32.49,93331.75,2919285.2452
1622764800000,2021-06-04 00:00:00,SOLEUR,32.72,32.84,28.26,30.82,107382.32,3284168.2408
1622851200000,2021-06-05 00:00:00,SOLEUR,30.81,35.24,30.53,32.89,88660.73,2959726.6286
1622937600000,2021-06-06 00:00:00,SOLEUR,32.78,36.25,32.17,34.89,73231.48,2511959.6821
1623024000000,2021-06-07 00:00:00,SOLEUR,34.89,36.32,31.24,31.36,107359.33,3725132.9136
1623110400000,2021-06-08 00:00:00,SOLEUR,31.38,35.05,27.31,33.99,213636.45,6646246.0736
1623196800000,2021-06-09 00:00:00,SOLEUR,33.88,36.5,32.3,34.56,173845.71,6073674.5686
1623283200000,2021-06-10 00:00:00,SOLEUR,34.56,35.41,32.5,33.7,70158.76,2390590.8341
1623369600000,2021-06-11 00:00:00,SOLEUR,33.76,33.99,29.0,29.95,63087.49,1988528.164
1623456000000,2021-06-12 00:00:00,SOLEUR,29.95,31.26,28.34,30.1,63876.12,1914515.441
1623542400000,2021-06-13 00:00:00,SOLEUR,30.24,32.82,28.73,31.93,97576.89,3009206.7132
1623628800000,2021-06-14 00:00:00,SOLEUR,31.97,33.5,30.24,32.84,71275.85,2262452.1349
1623715200000,2021-06-15 00:00:00,SOLEUR,32.87,34.42,32.34,32.66,69290.0,2321439.6656
1623801600000,2021-06-16 00:00:00,SOLEUR,32.59,34.37,30.95,33.11,76033.28,2463853.4245
