https://www.Saxcoin-b6.nl,USDC,USD Coin
unix,date,symbol,open,high,low,close,volume,total
1648425600,2022-03-28 00:00:00,USDC/EUR,0.91173,0.91310,0.90683,0.90942,1141800.41193,1038376.1306173806
1648512000,2022-03-29 00:00:00,USDC/EUR,0.90890,0.91040,0.89818,0.90165,559029.19457,504048.67328404053
1648598400,2022-03-30 00:00:00,USDC/EUR,0.90022,0.90026,0.89145,0.89564,679590.27701,608668.2357012364
1648684800,2022-03-31 00:00:00,USDC/EUR,0.89543,0.90386,0.89050,0.90290,869664.91831,785220.454742099
1648771200,2022-04-01 00:00:00,USDC/EUR,0.90372,0.90680,0.88542,0.90462,1162950.58673,1052028.3597676926
1648857600,2022-04-02 00:00:00,USDC/EUR,0.90457,0.90550,0.90452,0.90459,161376.90837,145979.93754241828
1648944000,2022-04-03 00:00:00,USDC/EUR,0.90548,0.90680,0.90174,0.90514,210232.91760,190290.22303646398
1649030400,2022-04-04 00:00:00,USDC/EUR,0.90514,0.91289,0.89710,0.91060,1265163.51637,1152057.898006522
1649116800,2022-04-05 00:00:00,USDC/EUR,0.91037,0.91754,0.90106,0.91628,611173.67138,560006.2116120664
1649203200,2022-04-06 00:00:00,USDC/EUR,0.91738,0.91912,0.90107,0.91813,952461.63610,874483.601952493
1649289600,2022-04-07 00:00:00,USDC/EUR,0.91694,0.92013,0.90166,0.92013,2159560.46502,1987076.3706788525
1649376000,2022-04-08 00:00:00,USDC/EUR,0.92075,0.92250,0.91803,0.92003,387749.82868,356741.47488046036
1649462400,2022-04-09 00:00:00,USDC/EUR,0.91902,0.92042,0.91900,0.92027,42875.16707,39456.729999508905
1649548800,2022-04-10 00:00:00,USDC/EUR,0.91946,0.92092,0.91574,0.91903,123883.91102,113853.0307447106
1649635200,2022-04-11 00:00:00,USDC/EUR,0.91899,0.92151,0.91413,0.91822,314606.07796,288877.5929044312
1649721600,2022-04-12 00:00:00,USDC/EUR,0.91932,0.92398,0.91634,0.92331,487582.19441,450189.5159206971
1649808000,2022-04-13 00:00:00,USDC/EUR,0.92234,0.92456,0.91576,0.91846,289937.39240,266295.89742370404
1649894400,2022-04-14 00:00:00,USDC/EUR,0.91750,0.92865,0.91504,0.92388,406424.55169,375487.5148153572
1649980800,2022-04-15 00:00:00,USDC/EUR,0.92397,0.92637,0.92397,0.92518,169359.46415,156687.989042297
1650067200,2022-04-16 00:00:00,USDC/EUR,0.92481,0.92897,0.92469,0.92620,84076.92905,77872.05168611
