https://www.Saxcoin-b6.nl,XLM,Stellar Lumen
unix,date,symbol,open,high,low,close,volume,total
1648425600,2022-03-28 00:00:00,XLM/EUR,0.20893,0.21993,0.20812,0.20912,6291241.76434107,1315624.4777590046
1648512000,2022-03-29 00:00:00,XLM/EUR,0.20889,0.21702,0.20658,0.21025,8583632.77533935,1804708.7910150983
1648598400,2022-03-30 00:00:00,XLM/EUR,0.21005,0.21304,0.20411,0.21014,4452422.05919874,935631.9715200232
1648684800,2022-03-31 00:00:00,XLM/EUR,0.20973,0.21727,0.20407,0.20629,11458004.30695444,2363671.7084816312
1648771200,2022-04-01 00:00:00,XLM/EUR,0.20654,0.21097,0.19941,0.21065,7850438.25781361,1653694.819008437
1648857600,2022-04-02 00:00:00,XLM/EUR,0.21033,0.21499,0.20921,0.21123,3737922.38323895,789561.3450115634
1648944000,2022-04-03 00:00:00,XLM/EUR,0.21160,0.21594,0.20901,0.21480,4212801.72006977,904909.8094709865
1649030400,2022-04-04 00:00:00,XLM/EUR,0.21416,0.21425,0.20677,0.21161,5389779.17768390,1140531.1717896902
1649116800,2022-04-05 00:00:00,XLM/EUR,0.21149,0.21326,0.20559,0.20619,6906141.05155545,1423977.2234202183
1649203200,2022-04-06 00:00:00,XLM/EUR,0.20654,0.20654,0.18599,0.18639,8014067.17596953,1493741.9809289607
1649289600,2022-04-07 00:00:00,XLM/EUR,0.18693,0.19734,0.18450,0.19590,5781164.92333439,1132530.208481207
1649376000,2022-04-08 00:00:00,XLM/EUR,0.19568,0.19635,0.18428,0.18605,5207190.81849860,968797.8517816645
1649462400,2022-04-09 00:00:00,XLM/EUR,0.18591,0.18961,0.18460,0.18881,5597577.98722233,1056878.699767448
1649548800,2022-04-10 00:00:00,XLM/EUR,0.18898,0.19079,0.18377,0.18377,4784509.36140028,879249.2853445294
1649635200,2022-04-11 00:00:00,XLM/EUR,0.18443,0.18467,0.17095,0.17153,8071229.23789316,1384457.9511758138
1649721600,2022-04-12 00:00:00,XLM/EUR,0.17213,0.17864,0.17081,0.17785,6293471.98630309,1119293.9927640047
1649808000,2022-04-13 00:00:00,XLM/EUR,0.17723,0.18163,0.17647,0.18042,4747516.87920440,856546.9953460578
1649894400,2022-04-14 00:00:00,XLM/EUR,0.17991,0.18298,0.17691,0.17914,7013676.01837891,1256429.9219323979
1649980800,2022-04-15 00:00:00,XLM/EUR,0.17937,0.19636,0.17859,0.18889,8864102.01719411,1674340.2300277955
1650067200,2022-04-16 00:00:00,XLM/EUR,0.18856,0.19217,0.18737,0.19025,3269590.23181004,622039.5416018601
1650153600,2022-04-17 00:00:00,XLM/EUR,0.19014,0.19156,0.18159,0.18213,3133985.72442232,570792.8199890371
1650240000,2022-04-18 00:00:00,XLM/EUR,0.18182,0.19130,0.17616,0.19025,11944364.56204158,2272415.3579284106
1650326400,2022-04-19 00:00:00,XLM/EUR,0.19035,0.19120,0.18564,0.18887,6237777.41848576,1178129.0210294055
1650412800,2022-04-20 00:00:00,XLM/EUR,0.18850,0.19145,0.18396,0.18477,9207707.97739702,1701308.2029836474
1650499200,2022-04-21 00:00:00,XLM/EUR,0.18455,0.18793,0.17860,0.18150,7205823.31118328,1307856.9309797653
1650585600,2022-04-22 00:00:00,XLM/EUR,0.18123,0.18328,0.17985,0.18097,6282327.26663949,1136912.7654437483
1650672000,2022-04-23 00:00:00,XLM/EUR,0.18124,0.18275,0.17727,0.17846,2925426.66333640,522071.642339014
1650758400,2022-04-24 00:00:00,XLM/EUR,0.17746,0.17995,0.17550,0.17565,5303201.72501487,931507.382998862
